"FID"	"IID"	"Sigs160.Bindea_Macrophages"	"Sigs160.Bindea_Mast.cells"	"Sigs160.Bindea_Neutrophils"	"Sigs160.Bindea_NK.CD56bright.cells"	"Sigs160.Bindea_NK.CD56dim.cells"
"TCGA-HV-AA8V"	"TCGA-HV-AA8V"	0.249639949	0.019830961	0.026679688	0.11010822	-0.025146504
"TCGA-2J-AABA"	"TCGA-2J-AABA"	0.185884403	0.046628754	0.000634295	0.084656106	-0.041881821
"TCGA-FB-AAQ1"	"TCGA-FB-AAQ1"	0.197268044	-0.006159535	0.008847699	0.084836583	-0.059873184
"TCGA-2J-AABK"	"TCGA-2J-AABK"	0.164003206	0.016995602	-0.031485963	0.082941695	-0.113159271
"TCGA-2J-AAB8"	"TCGA-2J-AAB8"	0.190204011	-0.013359725	-0.028857741	0.055610298	-0.034999742
"TCGA-HZ-A9TJ"	"TCGA-HZ-A9TJ"	0.177904612	-0.028085699	-0.03839632	0.171165933	-0.067213601
"TCGA-2J-AABV"	"TCGA-2J-AABV"	0.152027393	-0.001144333	-0.015946803	0.042894708	-0.063942621
"TCGA-FB-AAPY"	"TCGA-FB-AAPY"	0.230382141	0.035969868	0.007019435	0.083145149	-0.039035185
"TCGA-2J-AABP"	"TCGA-2J-AABP"	NA	NA	NA	NA	NA
"TCGA-3A-A9IZ"	"TCGA-3A-A9IZ"	0.150707966	-0.026261211	0.043363079	0.149292651	-0.051951349
"TCGA-FB-AAPU"	"TCGA-FB-AAPU"	0.091555689	-0.03998622	-0.064105775	0.090175657	-0.081726372
"TCGA-FB-AAQ0"	"TCGA-FB-AAQ0"	0.109921348	-0.055621455	-0.054867813	0.084127711	-0.069441627
"TCGA-XD-AAUH"	"TCGA-XD-AAUH"	0.207651127	0.075012105	0.01180285	0.060378612	-0.029980358
"TCGA-2J-AABO"	"TCGA-2J-AABO"	0.169446627	0.069279669	-0.02675695	0.053655839	-0.036163494
"TCGA-2J-AAB9"	"TCGA-2J-AAB9"	0.201751125	0.01310431	-0.011081767	0.038645039	-0.032522664
"TCGA-XD-AAUG"	"TCGA-XD-AAUG"	0.227694008	0.091703167	-0.013386211	0.064839357	-0.036250797
"TCGA-FB-AAPZ"	"TCGA-FB-AAPZ"	0.243056873	0.006154365	0.035342261	0.113008415	-0.051537574
