"FID"	"IID"	"Sigs160.Attractors_IFIT3"	"Sigs160.Attractors_LYM"	"Sigs160.Bindea_aDC"	"Sigs160.Bindea_B.cells"	"Sigs160.Bindea_CD8.T.cells"
"TCGA-DA-A1IB"	"TCGA-DA-A1IB"	NA	NA	NA	NA	NA
"TCGA-EB-A1NK"	"TCGA-EB-A1NK"	7.333338936	7.894805725	-0.010910047	-0.067409347	0.177262193
"TCGA-BJ-A0ZA"	"TCGA-BJ-A0ZA"	8.049805781	7.789307978	0.043773047	-0.042533131	0.206427875
"TCGA-BJ-A0Z0"	"TCGA-BJ-A0Z0"	8.418214813	5.748127379	-0.034351803	-0.064049017	0.197359009
"TCGA-BJ-A0ZG"	"TCGA-BJ-A0ZG"	8.864086649	7.165654871	-0.037152595	-0.042337055	0.212588368
"TCGA-C4-A0F7"	"TCGA-C4-A0F7"	7.572170652	5.888202604	0.148604715	-0.109049858	0.207008105
"TCGA-BT-A0S7"	"TCGA-BT-A0S7"	6.369061844	6.798938683	0.010070545	-0.063283497	0.206196415
"TCGA-CU-A0YN"	"TCGA-CU-A0YN"	9.469277139	8.415639096	0.182448995	-0.080168765	0.179972894
"TCGA-CE-A13K"	"TCGA-CE-A13K"	8.721564301	7.583235311	0.142253201	-0.079324673	0.205603011
"TCGA-DJ-A13M"	"TCGA-DJ-A13M"	8.019588882	6.409331885	-0.013306574	-0.063014556	0.212683737
"TCGA-DJ-A13W"	"TCGA-DJ-A13W"	8.341582284	7.424923216	-0.058503775	-0.037434492	0.241461319
"TCGA-DE-A0Y2"	"TCGA-DE-A0Y2"	9.630426394	7.327070851	0.140471413	-0.094480647	0.206822214
"TCGA-DJ-A13T"	"TCGA-DJ-A13T"	8.630008015	7.229536211	0.072473927	-0.096363671	0.217222664
"TCGA-BI-A0VR"	"TCGA-BI-A0VR"	11.35593461	9.123788131	0.297755727	-0.022609506	0.229121921
"TCGA-DR-A0ZM"	"TCGA-DR-A0ZM"	12.68289848	9.414546805	0.283683597	-0.016594093	0.237274308
"TCGA-C4-A0F6"	"TCGA-C4-A0F6"	5.938539445	6.984643984	-0.039489149	-0.105091654	0.183039991
"TCGA-BL-A13J"	"TCGA-BL-A13J"	8.15560831	6.814190398	0.093334506	-0.114374864	0.189606124
"TCGA-DJ-A13U"	"TCGA-DJ-A13U"	8.702997453	7.061370715	0.039324411	-0.062622458	0.20681994
"TCGA-BJ-A0YZ"	"TCGA-BJ-A0YZ"	8.726986254	6.881231426	0.018506319	-0.090163264	0.181783929
"TCGA-DS-A0VL"	"TCGA-DS-A0VL"	9.74287286	8.222682948	0.289908365	-0.077972071	0.20621085
"TCGA-DS-A0VM"	"TCGA-DS-A0VM"	11.34260982	7.43336388	0.255627209	-0.092766576	0.199100637
"TCGA-CU-A0YO"	"TCGA-CU-A0YO"	9.157514127	8.285978677	0.189836529	-0.0701642	0.208523902
"TCGA-BT-A0YX"	"TCGA-BT-A0YX"	8.020034906	8.620274388	0.16359422	-0.059928263	0.202203595
"TCGA-C4-A0F1"	"TCGA-C4-A0F1"	9.594493185	6.81644914	0.133780277	-0.075283112	0.189470506
