"FID"	"IID"	"Sigs160.Wolf_CD8.CD68.ratio"	"Sigs160.Wolf_CD8.PCA.16704732"	"Sigs160.Wolf_CD8A"	"Sigs160.Wolf_CHANG.CORE.SERUM.RESPONSE.UP"	"Sigs160.Wolf_Chemokine12.score"
"TCGA-DH-5143"	"TCGA-DH-5143"	-1.5616	-2.1606	-2.254	-0.2505	-1.6618
"TCGA-CS-4941"	"TCGA-CS-4941"	-0.7876	-0.4329	-0.631	-0.204	-0.5766
"TCGA-DB-5279"	"TCGA-DB-5279"	0.4988	-0.5268	-1.064	-0.2545	-1.2433
"TCGA-E1-5302"	"TCGA-E1-5302"	-1.1463	-1.5994	-1.648	-0.368	-2.0407
"TCGA-CS-4942"	"TCGA-CS-4942"	-2.0643	-1.3166	-2.22	-0.3175	-2.2107
"TCGA-DB-5280"	"TCGA-DB-5280"	-1.7344	-2.1477	-2.763	-0.4235	-2.0728
"TCGA-DH-5142"	"TCGA-DH-5142"	-1.2151	-0.1243	-1.573	-0.205	-1.3534
"TCGA-DH-5144"	"TCGA-DH-5144"	-1.087	-1.589	-2.896	-0.2935	-1.9141
"TCGA-DB-5270"	"TCGA-DB-5270"	0.0389	-1.3648	-0.654	-0.3385	-1.0461
"TCGA-DH-5140"	"TCGA-DH-5140"	0.5378	-1.4673	-0.668	-0.1205	-2.0462
"TCGA-DH-5141"	"TCGA-DH-5141"	-1.6857	-1.852	-3.01	-0.2535	-1.1956
"TCGA-CS-5394"	"TCGA-CS-5394"	-0.9492	-1.6424	-3.638	-0.354	-3.1487
"TCGA-E1-5303"	"TCGA-E1-5303"	-3.0943	-1.9849	-3.168	-0.2445	-2.124
"TCGA-A7-A0CH"	"TCGA-A7-A0CH"	0.2726	-1.0268	-0.79	-0.1565	-0.4822
"TCGA-BH-A0BC"	"TCGA-BH-A0BC"	-0.1557	0.1891	0.871	0.1355	0.7281
"TCGA-36-2549"	"TCGA-36-2549"	NA	NA	NA	NA	NA
"TCGA-36-2547"	"TCGA-36-2547"	NA	NA	NA	NA	NA
"TCGA-23-2643"	"TCGA-23-2643"	NA	NA	NA	NA	NA
"TCGA-36-2529"	"TCGA-36-2529"	NA	NA	NA	NA	NA
"TCGA-36-2530"	"TCGA-36-2530"	NA	NA	NA	NA	NA
"TCGA-04-1644"	"TCGA-04-1644"	NA	NA	NA	NA	NA
"TCGA-36-2537"	"TCGA-36-2537"	NA	NA	NA	NA	NA
"TCGA-42-2588"	"TCGA-42-2588"	NA	NA	NA	NA	NA
"TCGA-29-2436"	"TCGA-29-2436"	NA	NA	NA	NA	NA
"TCGA-42-2589"	"TCGA-42-2589"	NA	NA	NA	NA	NA
"TCGA-04-1353"	"TCGA-04-1353"	NA	NA	NA	NA	NA
"TCGA-13-2057"	"TCGA-13-2057"	NA	NA	NA	NA	NA
"TCGA-36-2540"	"TCGA-36-2540"	NA	NA	NA	NA	NA
"TCGA-13-2066"	"TCGA-13-2066"	NA	NA	NA	NA	NA
"TCGA-36-2552"	"TCGA-36-2552"	NA	NA	NA	NA	NA
"TCGA-42-2582"	"TCGA-42-2582"	NA	NA	NA	NA	NA
"TCGA-59-2372"	"TCGA-59-2372"	NA	NA	NA	NA	NA
"TCGA-29-2432"	"TCGA-29-2432"	NA	NA	NA	NA	NA
"TCGA-29-2434"	"TCGA-29-2434"	NA	NA	NA	NA	NA
"TCGA-36-2538"	"TCGA-36-2538"	NA	NA	NA	NA	NA
"TCGA-13-2071"	"TCGA-13-2071"	NA	NA	NA	NA	NA
"TCGA-13-2059"	"TCGA-13-2059"	NA	NA	NA	NA	NA
"TCGA-23-2647"	"TCGA-23-2647"	NA	NA	NA	NA	NA
