"FID"	"IID"	"Sigs160.Bindea_NK.cells"	"Sigs160.Bindea_pDC"	"Sigs160.Bindea_T.cells"	"Sigs160.Bindea_T.helper.cells"	"Sigs160.Bindea_Tcm.cells"
"TCGA-FS-A1ZF"	"TCGA-FS-A1ZF"	NA	NA	NA	NA	NA
"TCGA-FS-A1Z3"	"TCGA-FS-A1Z3"	NA	NA	NA	NA	NA
"TCGA-FS-A1YX"	"TCGA-FS-A1YX"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZH"	"TCGA-FS-A1ZH"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZA"	"TCGA-FS-A1ZA"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZJ"	"TCGA-FS-A1ZJ"	NA	NA	NA	NA	NA
"TCGA-FS-A1Z4"	"TCGA-FS-A1Z4"	NA	NA	NA	NA	NA
"TCGA-D9-A1X3"	"TCGA-D9-A1X3"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZM"	"TCGA-FS-A1ZM"	NA	NA	NA	NA	NA
"TCGA-BF-A1PX"	"TCGA-BF-A1PX"	0.124450954	0.167523489	0.140628846	0.221165344	0.174215105
"TCGA-BF-A1PV"	"TCGA-BF-A1PV"	0.120038954	-0.09676853	-0.136772727	0.216228552	0.158483515
"TCGA-D3-A1QB"	"TCGA-D3-A1QB"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q9"	"TCGA-D3-A1Q9"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q1"	"TCGA-D3-A1Q1"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q6"	"TCGA-D3-A1Q6"	NA	NA	NA	NA	NA
"TCGA-D3-A1QA"	"TCGA-D3-A1QA"	NA	NA	NA	NA	NA
"TCGA-DA-A1IA"	"TCGA-DA-A1IA"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZS"	"TCGA-FS-A1ZS"	NA	NA	NA	NA	NA
"TCGA-FS-A1Z7"	"TCGA-FS-A1Z7"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZT"	"TCGA-FS-A1ZT"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZR"	"TCGA-FS-A1ZR"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZB"	"TCGA-FS-A1ZB"	NA	NA	NA	NA	NA
"TCGA-BF-A1Q0"	"TCGA-BF-A1Q0"	0.128638218	-0.050462417	-0.056175648	0.23322199	0.146886965
"TCGA-BF-A1PZ"	"TCGA-BF-A1PZ"	0.115839365	-0.099360108	-0.082774199	0.209845543	0.144212048
"TCGA-D9-A1JX"	"TCGA-D9-A1JX"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q8"	"TCGA-D3-A1Q8"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q7"	"TCGA-D3-A1Q7"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q4"	"TCGA-D3-A1Q4"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q5"	"TCGA-D3-A1Q5"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZG"	"TCGA-FS-A1ZG"	NA	NA	NA	NA	NA
"TCGA-D9-A1JW"	"TCGA-D9-A1JW"	NA	NA	NA	NA	NA
"TCGA-DA-A1IB"	"TCGA-DA-A1IB"	NA	NA	NA	NA	NA
"TCGA-EB-A1NK"	"TCGA-EB-A1NK"	0.131249607	-0.015598363	-0.074571177	0.186345424	0.160177366
"TCGA-BJ-A0ZA"	"TCGA-BJ-A0ZA"	0.153044788	-0.046061625	-0.043076372	0.267145468	0.188214232
"TCGA-BJ-A0Z0"	"TCGA-BJ-A0Z0"	0.15875112	-0.068505665	-0.112928609	0.255216674	0.189934542
"TCGA-BJ-A0ZG"	"TCGA-BJ-A0ZG"	0.166508742	-0.041367447	-0.038261395	0.259004106	0.188745452
"TCGA-C4-A0F7"	"TCGA-C4-A0F7"	0.096184684	-0.004400792	-0.12521655	0.263847872	0.190023329
"TCGA-BT-A0S7"	"TCGA-BT-A0S7"	0.098295381	-0.033739407	-0.083966505	0.275089167	0.173883738
"TCGA-CU-A0YN"	"TCGA-CU-A0YN"	0.106921867	-0.03980272	-0.029887926	0.267437281	0.194010259
"TCGA-CE-A13K"	"TCGA-CE-A13K"	0.159391482	0.027138218	-0.05121552	0.256858389	0.183617918
"TCGA-DJ-A13M"	"TCGA-DJ-A13M"	0.142851016	0.016918601	-0.063274104	0.228443061	0.14648351
"TCGA-DJ-A13W"	"TCGA-DJ-A13W"	0.161196073	0.256810673	-0.022730346	0.220655512	0.161228714
"TCGA-DE-A0Y2"	"TCGA-DE-A0Y2"	0.165815575	-0.084299619	-0.1024241	0.258093877	0.192395861
"TCGA-DJ-A13T"	"TCGA-DJ-A13T"	0.176778401	-0.007970324	-0.075493838	0.265774199	0.203229558
"TCGA-BI-A0VR"	"TCGA-BI-A0VR"	0.10258241	-0.087575765	0.027624888	0.262059527	0.166526803
"TCGA-DR-A0ZM"	"TCGA-DR-A0ZM"	0.099019252	-0.036819961	0.099992731	0.265862571	0.178712172
"TCGA-C4-A0F6"	"TCGA-C4-A0F6"	0.096921155	-0.068945744	-0.078247787	0.259613924	0.187395475
"TCGA-BL-A13J"	"TCGA-BL-A13J"	0.130536732	-0.101609402	-0.12158376	0.250668416	0.182267137
"TCGA-DJ-A13U"	"TCGA-DJ-A13U"	0.183817628	-0.040145004	-0.092520496	0.263998692	0.201192072
"TCGA-BJ-A0YZ"	"TCGA-BJ-A0YZ"	0.160170776	0.032957044	-0.08169675	0.240156198	0.176196262
"TCGA-DS-A0VL"	"TCGA-DS-A0VL"	0.10231535	-0.168452545	-0.038135758	0.261024979	0.177198965
"TCGA-DS-A0VM"	"TCGA-DS-A0VM"	0.115451814	-0.050022338	-0.068891515	0.261548667	0.138903878
"TCGA-CU-A0YO"	"TCGA-CU-A0YO"	0.133532058	-0.005476541	-0.026652442	0.245897494	0.200775219
"TCGA-BT-A0YX"	"TCGA-BT-A0YX"	0.095166614	-0.079018669	-0.0192434	0.247074909	0.181859799
"TCGA-C4-A0F1"	"TCGA-C4-A0F1"	0.135553994	-0.046306113	-0.096831245	0.242443383	0.188693637
"TCGA-CU-A0YR"	"TCGA-CU-A0YR"	0.109423876	0.071390629	-0.04662684	0.250931325	0.161717817
"TCGA-BJ-A0ZJ"	"TCGA-BJ-A0ZJ"	0.176407892	0.032565862	0.098122608	0.269626085	0.199925268
"TCGA-DJ-A13V"	"TCGA-DJ-A13V"	0.183194862	-0.000782363	-0.067867469	0.265037186	0.189344631
"TCGA-BJ-A0ZE"	"TCGA-BJ-A0ZE"	0.113504744	-0.023373096	-0.06866557	0.242946902	0.136350977
"TCGA-DJ-A13P"	"TCGA-DJ-A13P"	0.176013512	-0.006796779	-0.065712408	0.264596909	0.178640745
"TCGA-BJ-A0ZH"	"TCGA-BJ-A0ZH"	0.178315354	0.05760148	-0.055681627	0.257700043	0.181691338
"TCGA-C4-A0EZ"	"TCGA-C4-A0EZ"	NA	NA	NA	NA	NA
"TCGA-C4-A0F0"	"TCGA-C4-A0F0"	0.128537634	-0.017896555	-0.03648501	0.241954945	0.128847447
"TCGA-BJ-A0ZB"	"TCGA-BJ-A0ZB"	0.178494373	-0.025573492	-0.089268388	0.25833586	0.206955847
