"FID"	"IID"	"Sigs160.Wolf_TGFB.PCA.17349583"	"Sigs160.Wolf_TGFB.score.21050467"	"Sigs160.Wolf_TREM1.data"	"Sigs160.Wolf_Troester.WoundSig.19887484"	"Core56.Adaptive.Receptor_BCR.Richness.Log10"
"TCGA-DD-A1E9"	"TCGA-DD-A1E9"	NA	NA	NA	NA	NA
"TCGA-QG-A5YX"	"TCGA-QG-A5YX"	-1.18	-0.5221	-1.545	-0.3325	0.477121255
"TCGA-QG-A5Z1"	"TCGA-QG-A5Z1"	0.3464	0.1565	0.298	0.2419	0.602059991
"TCGA-QG-A5Z2"	"TCGA-QG-A5Z2"	-0.7727	-0.3108	-1.759	-0.073	1.672097858
"TCGA-BB-A5HU"	"TCGA-BB-A5HU"	1.8765	0.8258	3.083	1.0221	0.77815125
"TCGA-F7-A61S"	"TCGA-F7-A61S"	0.244	0.1061	1.545	0.8262	0.77815125
"TCGA-HD-A634"	"TCGA-HD-A634"	-0.6797	-0.8115	-0.253	-0.4236	NA
"TCGA-N6-A4VC"	"TCGA-N6-A4VC"	0.2018	0.1957	2.937	0.4103	NA
"TCGA-N7-A4Y8"	"TCGA-N7-A4Y8"	-0.763	-0.4057	-0.456	-0.3497	0.698970004
"TCGA-F7-A623"	"TCGA-F7-A623"	-0.435	-0.0379	2.698	0.5145	1.707570176
"TCGA-BB-A5HY"	"TCGA-BB-A5HY"	0.8558	0.3092	2.873	0.7724	NA
"TCGA-F7-A61V"	"TCGA-F7-A61V"	-0.2353	0.0742	-0.86	0.7399	0.903089987
"TCGA-N5-A4RD"	"TCGA-N5-A4RD"	-0.1029	0.0912	0.342	0.4055	NA
"TCGA-N5-A4RT"	"TCGA-N5-A4RT"	0.0926	0.2033	-0.564	0.4851	NA
"TCGA-N6-A4VD"	"TCGA-N6-A4VD"	0.01	0.0098	0.991	0.7065	NA
"TCGA-N7-A59B"	"TCGA-N7-A59B"	-0.7644	-0.1731	0.842	-0.2051	NA
"TCGA-P3-A5QF"	"TCGA-P3-A5QF"	-0.6298	-0.2727	0.273	0.3158	0.301029996
"TCGA-BB-A5HZ"	"TCGA-BB-A5HZ"	0.3689	0.2934	3.216	0.6162	1.041392685
"TCGA-F7-A61W"	"TCGA-F7-A61W"	0.1887	0.2119	-1.358	0.3414	NA
"TCGA-P3-A5Q6"	"TCGA-P3-A5Q6"	1.5039	0.8077	0.276	0.8555	1.204119983
"TCGA-N5-A4RF"	"TCGA-N5-A4RF"	0.6821	0.5395	1.36	0.4233	NA
"TCGA-N5-A4RU"	"TCGA-N5-A4RU"	1.071	0.4177	0.849	0.2041	NA
"TCGA-N6-A4VE"	"TCGA-N6-A4VE"	0.4152	0.3671	0.038	0.8465	NA
"TCGA-N8-A4PI"	"TCGA-N8-A4PI"	1.1105	0.42	1.462	0.4956	NA
"TCGA-CN-A63T"	"TCGA-CN-A63T"	0.4759	0.5315	1.494	0.9756	1.602059991
"TCGA-F7-A620"	"TCGA-F7-A620"	0.3692	0.2124	0.257	0.8976	1.86332286
"TCGA-P3-A5QA"	"TCGA-P3-A5QA"	2.1765	0.9915	2.288	1.1112	0.477121255
"TCGA-N5-A4RJ"	"TCGA-N5-A4RJ"	0.6082	0.456	-0.178	0.4947	0.301029996
"TCGA-N5-A4RV"	"TCGA-N5-A4RV"	0.9137	0.2607	1.986	-0.0546	0.301029996
"TCGA-N6-A4VF"	"TCGA-N6-A4VF"	1.0235	0.6924	-0.015	0.7653	0.301029996
"TCGA-CN-A63V"	"TCGA-CN-A63V"	1.6395	0.6788	2.677	0.7612	0.477121255
"TCGA-F7-A622"	"TCGA-F7-A622"	-0.6653	-0.0504	1.989	0.5916	NA
"TCGA-P3-A5QE"	"TCGA-P3-A5QE"	-0.4678	-0.2711	-1.229	0.7158	0.77815125
"TCGA-N5-A4RM"	"TCGA-N5-A4RM"	0.0538	0.0301	-0.153	0.1113	NA
