"FID"	"IID"	"Sigs160.Wolf_TGFB.PCA.17349583"	"Sigs160.Wolf_TGFB.score.21050467"	"Sigs160.Wolf_TREM1.data"	"Sigs160.Wolf_Troester.WoundSig.19887484"	"Core56.Adaptive.Receptor_BCR.Richness.Log10"
"TCGA-04-1519"	"TCGA-04-1519"	-0.9141	-0.4208	-2.6	-0.3858	NA
"TCGA-24-1557"	"TCGA-24-1557"	-0.7573	-0.2881	0.898	-0.1094	0.477121255
"TCGA-36-1574"	"TCGA-36-1574"	0.632	0.273	0.862	0.0254	1.079181246
"TCGA-57-1583"	"TCGA-57-1583"	0.2073	-0.038	0.491	-0.1521	0.301029996
"TCGA-25-1630"	"TCGA-25-1630"	0.0145	0.0249	2.893	0.2388	0.602059991
"TCGA-09-1662"	"TCGA-09-1662"	0.1458	0.0808	0.736	0.0959	0.698970004
"TCGA-04-1525"	"TCGA-04-1525"	NA	NA	NA	NA	NA
"TCGA-24-1558"	"TCGA-24-1558"	-0.314	-0.1707	-0.51	-0.1429	NA
"TCGA-36-1575"	"TCGA-36-1575"	-1.1193	-0.4181	-0.505	-0.2376	1.477121255
"TCGA-57-1584"	"TCGA-57-1584"	-0.8404	-0.2885	0.431	-0.1337	NA
"TCGA-25-1631"	"TCGA-25-1631"	-0.2698	-0.1496	0.449	0.2046	0.301029996
"TCGA-09-1665"	"TCGA-09-1665"	NA	NA	NA	NA	1.255272505
"TCGA-04-1536"	"TCGA-04-1536"	NA	NA	NA	NA	0.477121255
"TCGA-24-1560"	"TCGA-24-1560"	-0.9882	-0.3659	0.481	-0.1375	0.477121255
"TCGA-36-1576"	"TCGA-36-1576"	NA	NA	NA	NA	2.710963119
"TCGA-57-1585"	"TCGA-57-1585"	NA	NA	NA	NA	2.618048097
"TCGA-25-1632"	"TCGA-25-1632"	-0.4736	-0.1546	-0.335	-0.1401	NA
"TCGA-09-1666"	"TCGA-09-1666"	-0.4815	-0.4095	-0.254	-0.1835	NA
"TCGA-24-1544"	"TCGA-24-1544"	-1.2496	-0.409	-0.333	-0.3218	0.602059991
"TCGA-24-1567"	"TCGA-24-1567"	-0.5453	-0.278	-0.897	0.1069	NA
"TCGA-36-1577"	"TCGA-36-1577"	-0.2405	-0.1425	1.579	0.1647	NA
"TCGA-25-1623"	"TCGA-25-1623"	1.4128	0.6388	1.882	0.6542	2.515873844
"TCGA-25-1633"	"TCGA-25-1633"	1.3752	0.6365	1.626	0.5601	1.041392685
"TCGA-09-1667"	"TCGA-09-1667"	0.2886	0.1482	1.361	0.1487	1.799340549
"TCGA-24-1545"	"TCGA-24-1545"	NA	NA	NA	NA	1.681241237
"TCGA-36-1568"	"TCGA-36-1568"	0.4385	0.1272	-2.038	0.308	1.838849091
"TCGA-36-1578"	"TCGA-36-1578"	-0.195	-0.3785	0.195	-0.2632	2.243038049
"TCGA-25-1625"	"TCGA-25-1625"	0.214	0.152	0.59	0.5044	1.380211242
"TCGA-25-1634"	"TCGA-25-1634"	-0.8403	-0.3312	-1.242	-0.692	NA
"TCGA-09-1668"	"TCGA-09-1668"	0.7193	0.263	0.486	0.3201	1.72427587
"TCGA-24-1546"	"TCGA-24-1546"	NA	NA	NA	NA	2.037426498
"TCGA-36-1569"	"TCGA-36-1569"	NA	NA	NA	NA	1.959041392
"TCGA-36-1580"	"TCGA-36-1580"	1.1352	0.4791	1.431	0.5628	1.380211242
"TCGA-25-1626"	"TCGA-25-1626"	NA	NA	NA	NA	2.146128036
"TCGA-25-1635"	"TCGA-25-1635"	0.7873	0.3268	0.894	0.2023	1.079181246
"TCGA-09-1669"	"TCGA-09-1669"	0.4099	0.0078	-0.017	-0.0401	2.558708571
"TCGA-24-1548"	"TCGA-24-1548"	-0.6414	-0.2815	0.645	-0.1281	2.033423755
"TCGA-36-1570"	"TCGA-36-1570"	-0.7133	-0.4803	-1.071	-0.109	NA
"TCGA-36-1581"	"TCGA-36-1581"	-0.0157	-0.034	0.721	-0.0279	2.530199698
"TCGA-25-1627"	"TCGA-25-1627"	-0.3464	-0.0861	0.51	0.091	2.06069784
"TCGA-09-1659"	"TCGA-09-1659"	-0.0877	-0.1118	1.356	0.0595	NA
"TCGA-04-1517"	"TCGA-04-1517"	NA	NA	NA	NA	NA
"TCGA-24-1556"	"TCGA-24-1556"	-0.177	-0.2059	-0.99	-0.0448	0.698970004
"TCGA-36-1571"	"TCGA-36-1571"	-0.9258	-0.2586	-0.683	0.1069	NA
"TCGA-57-1582"	"TCGA-57-1582"	0.0318	-0.038	0.623	-0.2316	1.919078092
"TCGA-25-1628"	"TCGA-25-1628"	NA	NA	NA	NA	2.075546961
"TCGA-09-1661"	"TCGA-09-1661"	NA	NA	NA	NA	NA
"TCGA-DA-A1IC"	"TCGA-DA-A1IC"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZP"	"TCGA-FS-A1ZP"	NA	NA	NA	NA	0.84509804
"TCGA-FS-A1YW"	"TCGA-FS-A1YW"	NA	NA	NA	NA	1.041392685
"TCGA-FS-A1ZN"	"TCGA-FS-A1ZN"	-0.1935	0.1932	0.724	0.0748	0.301029996
"TCGA-FS-A1Z0"	"TCGA-FS-A1Z0"	NA	NA	NA	NA	1.544068044
"TCGA-FS-A1YY"	"TCGA-FS-A1YY"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZC"	"TCGA-FS-A1ZC"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZD"	"TCGA-FS-A1ZD"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZE"	"TCGA-FS-A1ZE"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZQ"	"TCGA-FS-A1ZQ"	NA	NA	NA	NA	1.322219295
"TCGA-FS-A1ZK"	"TCGA-FS-A1ZK"	NA	NA	NA	NA	NA
"TCGA-BF-A1PU"	"TCGA-BF-A1PU"	-0.0397	0.2661	-2.042	-0.3334	0.301029996
"TCGA-D3-A1Q3"	"TCGA-D3-A1Q3"	NA	NA	NA	NA	2.100370545
"TCGA-FS-A1ZF"	"TCGA-FS-A1ZF"	NA	NA	NA	NA	NA
"TCGA-FS-A1Z3"	"TCGA-FS-A1Z3"	NA	NA	NA	NA	NA
"TCGA-FS-A1YX"	"TCGA-FS-A1YX"	NA	NA	NA	NA	0.301029996
"TCGA-FS-A1ZH"	"TCGA-FS-A1ZH"	NA	NA	NA	NA	2.086359831
"TCGA-FS-A1ZA"	"TCGA-FS-A1ZA"	NA	NA	NA	NA	1.84509804
"TCGA-FS-A1ZJ"	"TCGA-FS-A1ZJ"	NA	NA	NA	NA	0.301029996
"TCGA-FS-A1Z4"	"TCGA-FS-A1Z4"	NA	NA	NA	NA	2.385606274
"TCGA-D9-A1X3"	"TCGA-D9-A1X3"	NA	NA	NA	NA	1.278753601
"TCGA-FS-A1ZM"	"TCGA-FS-A1ZM"	NA	NA	NA	NA	0.301029996
"TCGA-BF-A1PX"	"TCGA-BF-A1PX"	0.665	0.5997	-0.374	0.4457	1.939519253
"TCGA-BF-A1PV"	"TCGA-BF-A1PV"	0.1984	0.0167	-0.715	-0.4589	0.77815125
"TCGA-D3-A1QB"	"TCGA-D3-A1QB"	NA	NA	NA	NA	2.117271296
"TCGA-D3-A1Q9"	"TCGA-D3-A1Q9"	NA	NA	NA	NA	1.662757832
"TCGA-D3-A1Q1"	"TCGA-D3-A1Q1"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q6"	"TCGA-D3-A1Q6"	NA	NA	NA	NA	NA
"TCGA-D3-A1QA"	"TCGA-D3-A1QA"	NA	NA	NA	NA	1.633468456
"TCGA-DA-A1IA"	"TCGA-DA-A1IA"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZS"	"TCGA-FS-A1ZS"	NA	NA	NA	NA	NA
"TCGA-FS-A1Z7"	"TCGA-FS-A1Z7"	NA	NA	NA	NA	0.301029996
"TCGA-FS-A1ZT"	"TCGA-FS-A1ZT"	NA	NA	NA	NA	2.250420002
"TCGA-FS-A1ZR"	"TCGA-FS-A1ZR"	NA	NA	NA	NA	0.698970004
"TCGA-FS-A1ZB"	"TCGA-FS-A1ZB"	NA	NA	NA	NA	0.301029996
"TCGA-BF-A1Q0"	"TCGA-BF-A1Q0"	0.1555	0.2309	-1.542	-0.0983	1.230448921
"TCGA-BF-A1PZ"	"TCGA-BF-A1PZ"	-0.6883	-0.1944	-0.74	-0.5467	0.954242509
"TCGA-D9-A1JX"	"TCGA-D9-A1JX"	NA	NA	NA	NA	1.556302501
"TCGA-D3-A1Q8"	"TCGA-D3-A1Q8"	NA	NA	NA	NA	1.556302501
"TCGA-D3-A1Q7"	"TCGA-D3-A1Q7"	NA	NA	NA	NA	2.181843588
"TCGA-D3-A1Q4"	"TCGA-D3-A1Q4"	NA	NA	NA	NA	1.913813852
"TCGA-D3-A1Q5"	"TCGA-D3-A1Q5"	NA	NA	NA	NA	0.301029996
"TCGA-FS-A1ZG"	"TCGA-FS-A1ZG"	NA	NA	NA	NA	NA
"TCGA-D9-A1JW"	"TCGA-D9-A1JW"	NA	NA	NA	NA	2.103803721
"TCGA-DA-A1IB"	"TCGA-DA-A1IB"	NA	NA	NA	NA	2.307496038
"TCGA-EB-A1NK"	"TCGA-EB-A1NK"	0.4013	0.3615	-0.134	0.171	0.477121255
"TCGA-BJ-A0ZA"	"TCGA-BJ-A0ZA"	-0.6426	-0.5342	0.446	-0.228	2.064457989
"TCGA-BJ-A0Z0"	"TCGA-BJ-A0Z0"	-1.8485	-0.7478	-2.374	-0.6863	NA
"TCGA-BJ-A0ZG"	"TCGA-BJ-A0ZG"	-0.8347	-0.3666	-2.528	-0.0814	0.477121255
"TCGA-C4-A0F7"	"TCGA-C4-A0F7"	-0.01	0.1403	0.45	0.6885	NA
"TCGA-BT-A0S7"	"TCGA-BT-A0S7"	0.446	-0.0241	0.687	0.112	0.301029996
"TCGA-CU-A0YN"	"TCGA-CU-A0YN"	1.005	0.5132	3.391	0.6617	1.77815125
"TCGA-CE-A13K"	"TCGA-CE-A13K"	-0.0033	0.1693	3.14	-0.0401	0.602059991
"TCGA-DJ-A13M"	"TCGA-DJ-A13M"	-1.0188	-0.7121	0.735	-0.6695	NA
"TCGA-DJ-A13W"	"TCGA-DJ-A13W"	-0.9124	-0.4361	-1.705	-0.2724	NA
"TCGA-DE-A0Y2"	"TCGA-DE-A0Y2"	0.1617	0.0463	1.478	-0.2061	NA
"TCGA-DJ-A13T"	"TCGA-DJ-A13T"	-0.1352	-0.1379	0.781	-0.1617	NA
"TCGA-BI-A0VR"	"TCGA-BI-A0VR"	0.2885	0.1803	0.413	0.8413	1.579783597
"TCGA-DR-A0ZM"	"TCGA-DR-A0ZM"	-0.6103	-0.2489	-1.041	0.3608	NA
"TCGA-C4-A0F6"	"TCGA-C4-A0F6"	0.4204	0.1368	-0.834	0.0457	1.342422681
"TCGA-BL-A13J"	"TCGA-BL-A13J"	0.893	0.3095	0.539	0.348	0.698970004
"TCGA-DJ-A13U"	"TCGA-DJ-A13U"	-0.4072	-0.269	0.481	-0.4183	NA
"TCGA-BJ-A0YZ"	"TCGA-BJ-A0YZ"	-0.2797	-0.112	-2.07	-0.3142	NA
"TCGA-DS-A0VL"	"TCGA-DS-A0VL"	-0.5116	-0.1725	-1.25	0.5201	0.903089987
"TCGA-DS-A0VM"	"TCGA-DS-A0VM"	0.429	0.272	1.088	0.471	NA
"TCGA-CU-A0YO"	"TCGA-CU-A0YO"	0.4394	0.2809	-0.917	0.5739	0.301029996
"TCGA-BT-A0YX"	"TCGA-BT-A0YX"	0.0758	0.187	0.816	0.4433	1.380211242
"TCGA-C4-A0F1"	"TCGA-C4-A0F1"	0.7471	0.3454	3.814	0.5641	0.954242509
"TCGA-CU-A0YR"	"TCGA-CU-A0YR"	0.686	0.2213	1.969	0.0935	1.462397998
"TCGA-BJ-A0ZJ"	"TCGA-BJ-A0ZJ"	-0.0065	-0.1119	1.027	0.0193	1.447158031
"TCGA-DJ-A13V"	"TCGA-DJ-A13V"	0.0815	0.0501	0.316	-0.2422	0.602059991
"TCGA-BJ-A0ZE"	"TCGA-BJ-A0ZE"	-1.8642	-0.9057	2.13	-0.8294	NA
"TCGA-DJ-A13P"	"TCGA-DJ-A13P"	-0.6178	-0.2357	-0.25	-0.5894	NA
"TCGA-BJ-A0ZH"	"TCGA-BJ-A0ZH"	-0.0099	-0.0693	1.636	-0.3327	0.77815125
"TCGA-C4-A0EZ"	"TCGA-C4-A0EZ"	NA	NA	NA	NA	NA
"TCGA-C4-A0F0"	"TCGA-C4-A0F0"	0.7531	0.0325	1.677	0.3144	NA
"TCGA-BJ-A0ZB"	"TCGA-BJ-A0ZB"	0.0732	-0.0314	0.218	-0.3184	NA
"TCGA-BJ-A0Z2"	"TCGA-BJ-A0Z2"	-0.6659	-0.4405	-0.193	-0.5782	NA
"TCGA-09-2044"	"TCGA-09-2044"	-0.3719	-0.2838	1.351	-0.2134	1.079181246
"TCGA-24-2262"	"TCGA-24-2262"	0.3308	0.1559	1.047	0.1571	2.173186268
"TCGA-24-2293"	"TCGA-24-2293"	NA	NA	NA	NA	2.222716471
"TCGA-25-2393"	"TCGA-25-2393"	-0.1382	-0.0707	1.937	0.0187	1.146128036
"TCGA-25-2408"	"TCGA-25-2408"	NA	NA	NA	NA	NA
"TCGA-59-2350"	"TCGA-59-2350"	-0.0834	-0.0147	0.94	-0.0252	0.301029996
"TCGA-09-2045"	"TCGA-09-2045"	-0.7187	-0.2658	-1.023	-0.2329	0.301029996
"TCGA-24-2267"	"TCGA-24-2267"	0.1035	-0.084	-0.593	-0.0376	2.981818607
"TCGA-24-2295"	"TCGA-24-2295"	NA	NA	NA	NA	NA
"TCGA-25-2396"	"TCGA-25-2396"	-0.0721	-0.1942	-0.502	-0.0564	1.826074803
"TCGA-25-2409"	"TCGA-25-2409"	0.1667	0.1852	-0.492	0.0456	1.113943352
"TCGA-59-2351"	"TCGA-59-2351"	0.4637	0.068	1.478	0.1016	2.712649702
"TCGA-09-2048"	"TCGA-09-2048"	-0.7034	-0.4308	0.14	-0.0546	0.602059991
"TCGA-24-2271"	"TCGA-24-2271"	0.7136	0.1827	-0.553	0.4014	2.481442629
"TCGA-24-2297"	"TCGA-24-2297"	-0.5189	-0.0563	-0.576	0.0356	1
"TCGA-25-2397"	"TCGA-25-2397"	-0.9374	-0.466	1.192	-0.0339	NA
"TCGA-29-2414"	"TCGA-29-2414"	0.5501	0.2706	0.262	0.0893	1.146128036
"TCGA-59-2352"	"TCGA-59-2352"	0.1576	0.1292	0.773	0.1691	2.551449998
"TCGA-09-2049"	"TCGA-09-2049"	NA	NA	NA	NA	NA
"TCGA-24-2280"	"TCGA-24-2280"	NA	NA	NA	NA	1.69019608
"TCGA-24-2298"	"TCGA-24-2298"	1.0517	0.3581	0.677	0.3421	1.176091259
"TCGA-25-2398"	"TCGA-25-2398"	NA	NA	NA	NA	1.73239376
"TCGA-29-2425"	"TCGA-29-2425"	-0.4793	-0.1695	0.028	-0.2071	2.414973348
"TCGA-59-2354"	"TCGA-59-2354"	NA	NA	NA	NA	2.235528447
"TCGA-09-2050"	"TCGA-09-2050"	NA	NA	NA	NA	NA
"TCGA-24-2281"	"TCGA-24-2281"	0.2214	-0.062	2.104	-0.0068	2.209515015
"TCGA-25-2042"	"TCGA-25-2042"	NA	NA	NA	NA	2.195899652
"TCGA-25-2399"	"TCGA-25-2399"	0.923	0.3874	1.093	0.3762	0.477121255
"TCGA-29-2427"	"TCGA-29-2427"	0.4451	-0.0997	0.132	0.1201	2.155336037
"TCGA-59-2355"	"TCGA-59-2355"	0.2356	0.1761	0.648	0.2942	1.255272505
"TCGA-09-2051"	"TCGA-09-2051"	-0.4859	-0.2516	0.376	0.0529	0.84509804
"TCGA-24-2288"	"TCGA-24-2288"	0.5733	0.2052	0.614	0.36	2.602059991
"TCGA-25-1329"	"TCGA-25-1329"	0.6518	0.21	1.304	0.2396	1.875061263
"TCGA-25-2400"	"TCGA-25-2400"	-0.6493	-0.191	1.354	0.1097	NA
"TCGA-29-2428"	"TCGA-29-2428"	-0.1703	-0.1555	1.322	-0.1028	2.195899652
"TCGA-59-2363"	"TCGA-59-2363"	-0.4919	0.0526	0.371	0.0268	0.477121255
"TCGA-09-2055"	"TCGA-09-2055"	NA	NA	NA	NA	NA
"TCGA-24-2289"	"TCGA-24-2289"	NA	NA	NA	NA	1.255272505
"TCGA-25-2391"	"TCGA-25-2391"	-0.6059	-0.2958	1.302	0.0884	NA
"TCGA-25-2401"	"TCGA-25-2401"	NA	NA	NA	NA	1.968482949
"TCGA-59-2348"	"TCGA-59-2348"	0.1533	0.0173	0.072	0.0298	2.269512944
"TCGA-09-2043"	"TCGA-09-2043"	NA	NA	NA	NA	NA
"TCGA-13-2060"	"TCGA-13-2060"	0.1023	-0.2129	0.413	-0.0755	2.176091259
"TCGA-24-2290"	"TCGA-24-2290"	0.001	-0.0725	1.419	-0.0431	1
"TCGA-25-2392"	"TCGA-25-2392"	-0.3497	-0.2206	1.965	-0.1077	1.86332286
"TCGA-59-2349"	"TCGA-59-2349"	NA	NA	NA	NA	NA
"TCGA-VD-AA8N"	"TCGA-VD-AA8N"	-1.051	-0.6062	-2.252	-1.1326	0.301029996
"TCGA-V4-A9E5"	"TCGA-V4-A9E5"	-2.2076	-0.8688	-0.897	-1.2333	NA
"TCGA-WC-A87T"	"TCGA-WC-A87T"	-3.3362	-1.3895	-3.322	-1.4754	NA
"TCGA-V4-A9EH"	"TCGA-V4-A9EH"	-2.0403	-0.944	-3.322	-1.2478	NA
"TCGA-V4-A9EL"	"TCGA-V4-A9EL"	-1.1157	-0.6133	-1.43	-0.9612	0.602059991
"TCGA-V4-A9EQ"	"TCGA-V4-A9EQ"	-1.2888	-0.6164	-2.849	-1.3809	NA
"TCGA-V4-A9EV"	"TCGA-V4-A9EV"	-1.4185	-0.6737	-1.872	-0.8355	NA
"TCGA-V4-A9EY"	"TCGA-V4-A9EY"	-1.69	-0.608	-3.322	-1.147	NA
"TCGA-V3-A9ZY"	"TCGA-V3-A9ZY"	-2.3142	-0.8568	-2.774	-1.3861	NA
"TCGA-V4-A9F5"	"TCGA-V4-A9F5"	-1.7665	-0.9607	-1.808	-1.4174	NA
"TCGA-V4-A9ED"	"TCGA-V4-A9ED"	-0.9168	-0.3642	-1.975	-0.6785	NA
"TCGA-V4-A9EF"	"TCGA-V4-A9EF"	-1.6624	-0.7648	-2.907	-1.3908	NA
"TCGA-V4-A9E7"	"TCGA-V4-A9E7"	-2.7234	-1.0214	-2.855	-1.5258	NA
"TCGA-VD-A8KA"	"TCGA-VD-A8KA"	-2.0424	-0.9037	-2.942	-1.1422	NA
"TCGA-V4-A9F4"	"TCGA-V4-A9F4"	-1.4166	-0.6234	-1.971	-0.9377	NA
"TCGA-V4-A9EX"	"TCGA-V4-A9EX"	-0.9009	-0.5599	-2.449	-1.0686	NA
"TCGA-V4-A9EO"	"TCGA-V4-A9EO"	-1.3552	-0.7016	-2.476	-1.0902	NA
"TCGA-WC-A884"	"TCGA-WC-A884"	-0.7103	-0.2191	-0.14	-0.514	0.477121255
"TCGA-VD-AA8T"	"TCGA-VD-AA8T"	-1.8437	-0.9589	-3.322	-0.9772	NA
"TCGA-VD-AA8M"	"TCGA-VD-AA8M"	-1.8698	-0.7924	-2.792	-1.0961	NA
"TCGA-VD-A8KI"	"TCGA-VD-A8KI"	-1.9397	-0.8944	-2.871	-1.4885	NA
"TCGA-YZ-A980"	"TCGA-YZ-A980"	-1.3825	-0.4716	-1.691	-0.2306	NA
"TCGA-WC-A883"	"TCGA-WC-A883"	0.1774	-0.284	0.377	-0.3836	NA
"TCGA-WC-A87U"	"TCGA-WC-A87U"	-1.8006	-0.8984	-2.893	-1.0869	NA
"TCGA-WC-AA9A"	"TCGA-WC-AA9A"	-2.9635	-1.303	-2.937	-1.4454	NA
"TCGA-WC-A880"	"TCGA-WC-A880"	-2.0735	-0.8671	-2.369	-1.2871	NA
"TCGA-WC-A88A"	"TCGA-WC-A88A"	-1.2041	-0.7343	-3.322	-1.3544	NA
"TCGA-YZ-A985"	"TCGA-YZ-A985"	-1.7887	-0.8344	-3.322	-1.3467	NA
"TCGA-WC-A881"	"TCGA-WC-A881"	-1.9798	-0.923	-3.322	-1.1638	NA
"TCGA-V4-A9EI"	"TCGA-V4-A9EI"	-1.2339	-0.6552	-2.06	-1.2016	NA
"TCGA-V4-A9E9"	"TCGA-V4-A9E9"	-2.5655	-1.2112	-2.165	-1.7374	NA
"TCGA-V4-A9EZ"	"TCGA-V4-A9EZ"	-1.4406	-0.862	-1.496	-1.4136	NA
"TCGA-V4-A9ES"	"TCGA-V4-A9ES"	-2.2459	-1.0595	-2.943	-1.405	NA
"TCGA-VD-A8KD"	"TCGA-VD-A8KD"	-1.2304	-0.7158	-1.968	-0.8712	1.838849091
"TCGA-WC-AA9E"	"TCGA-WC-AA9E"	-2.0973	-1.0347	-2.687	-0.88	1.278753601
"TCGA-V4-A9F7"	"TCGA-V4-A9F7"	-2.343	-1.0251	-2.944	-1.1895	NA
"TCGA-WC-A882"	"TCGA-WC-A882"	-1.0006	-0.4249	-1.654	-0.5978	NA
"TCGA-VD-AA8O"	"TCGA-VD-AA8O"	-2.0863	-0.8098	-3.322	-1.4177	NA
"TCGA-VD-A8KK"	"TCGA-VD-A8KK"	-0.9466	-0.57	-2.386	-1.0496	NA
"TCGA-WC-A888"	"TCGA-WC-A888"	-1.409	-0.6906	-2.756	-0.7822	1.447158031
"TCGA-YZ-A984"	"TCGA-YZ-A984"	-1.6999	-0.6348	-2.666	-0.8294	NA
"TCGA-WC-A87Y"	"TCGA-WC-A87Y"	-1.6048	-0.536	-2.318	-0.4995	NA
"TCGA-VD-AA8P"	"TCGA-VD-AA8P"	-1.9308	-0.7373	-2.87	-1.1782	NA
"TCGA-VD-A8KL"	"TCGA-VD-A8KL"	-1.5748	-0.6003	-2.361	-1.2029	NA
"TCGA-VD-A8KE"	"TCGA-VD-A8KE"	-1.9003	-0.6872	-2.895	-1.0844	NA
"TCGA-V4-A9EA"	"TCGA-V4-A9EA"	-1.6916	-0.6008	-2.14	-1.3587	NA
"TCGA-VQ-A8PC"	"TCGA-VQ-A8PC"	-0.0628	0.282	0.879	0.8107	2.522444234
"TCGA-4C-A93U"	"TCGA-4C-A93U"	1.6381	0.5342	2.61	0.3492	0.954242509
"TCGA-QD-A8IV"	"TCGA-QD-A8IV"	-0.6935	-0.512	-0.442	-0.3663	1.643452676
"TCGA-DE-A69K"	"TCGA-DE-A69K"	-0.0883	-0.0434	2.681	-0.0949	NA
"TCGA-DE-A69J"	"TCGA-DE-A69J"	-0.1084	0.0963	2.159	-0.1939	NA
"TCGA-DE-A7U5"	"TCGA-DE-A7U5"	1.2307	0.5923	2.744	0.4741	2.012837225
"TCGA-FY-A76V"	"TCGA-FY-A76V"	0.0695	0.1342	1.531	0.0213	NA
"TCGA-MK-A84Z"	"TCGA-MK-A84Z"	-0.5492	-0.3577	1.935	-0.1863	NA
"TCGA-33-AASD"	"TCGA-33-AASD"	0.2605	0.3164	2.113	0.551	NA
"TCGA-33-AASL"	"TCGA-33-AASL"	-0.5936	-0.1627	-0.256	0.5324	0.698970004
"TCGA-NK-A7XE"	"TCGA-NK-A7XE"	-0.3035	0.0642	1.794	0.5933	NA
"TCGA-XC-AA0X"	"TCGA-XC-AA0X"	1.1204	0.6118	2.545	1.4117	2.264817823
"TCGA-33-AASI"	"TCGA-33-AASI"	-0.1091	0.1055	-0.249	0.4548	1.278753601
"TCGA-33-AASJ"	"TCGA-33-AASJ"	-0.8738	-0.3109	0.193	0.3904	0.954242509
"TCGA-6A-AB49"	"TCGA-6A-AB49"	-0.4252	-0.0484	1.513	0.1831	NA
"TCGA-33-AAS8"	"TCGA-33-AAS8"	-0.4276	-0.0539	0.937	0.6278	0.698970004
"TCGA-LA-A7SW"	"TCGA-LA-A7SW"	0.9295	0.2653	1.375	0.8892	NA
"TCGA-33-AASB"	"TCGA-33-AASB"	-0.6362	-0.1149	4.602	0.3146	0.301029996
"TCGA-56-A62T"	"TCGA-56-A62T"	0.9017	0.6946	3.093	0.9548	1.505149978
"TCGA-GN-A9SD"	"TCGA-GN-A9SD"	NA	NA	NA	NA	1.62324929
"TCGA-W3-AA1V"	"TCGA-W3-AA1V"	NA	NA	NA	NA	0.602059991
"TCGA-BF-AAP4"	"TCGA-BF-AAP4"	-0.1921	-0.0737	-0.867	-0.3378	0.903089987
"TCGA-XV-AAZW"	"TCGA-XV-AAZW"	0.1494	0.2754	0.51	0.2348	NA
"TCGA-XV-AB01"	"TCGA-XV-AB01"	NA	NA	NA	NA	1.73239376
"TCGA-BF-AAP7"	"TCGA-BF-AAP7"	0.4867	0.5779	0.044	0.3168	1.301029996
"TCGA-BF-AAP2"	"TCGA-BF-AAP2"	-0.4681	-0.0699	-1.649	-0.1463	0.477121255
"TCGA-XV-AAZV"	"TCGA-XV-AAZV"	0.0054	0.5471	1.037	0.4449	NA
"TCGA-BF-AAP8"	"TCGA-BF-AAP8"	-0.6148	-0.5294	-1.436	-0.4413	NA
"TCGA-YD-A9TB"	"TCGA-YD-A9TB"	NA	NA	NA	NA	0.301029996
"TCGA-BF-AAP6"	"TCGA-BF-AAP6"	0.2703	0.2236	0.044	-0.5499	NA
"TCGA-XV-AAZY"	"TCGA-XV-AAZY"	0.1837	-0.0389	-0.146	-0.5621	1.447158031
"TCGA-VD-A8KG"	"TCGA-VD-A8KG"	-2.2402	-0.8971	-2.735	-1.3957	NA
"TCGA-VD-A8KN"	"TCGA-VD-A8KN"	-1.3699	-0.5724	-2.213	-0.8507	NA
"TCGA-V4-A9F2"	"TCGA-V4-A9F2"	-1.3811	-0.5558	-2.283	-0.8772	0.301029996
"TCGA-VD-AA8S"	"TCGA-VD-AA8S"	-1.268	-0.5092	-2.878	-1.0618	NA
"TCGA-V4-A9E8"	"TCGA-V4-A9E8"	-0.3081	-0.3661	-3.322	-0.9256	0.477121255
"TCGA-VD-A8K8"	"TCGA-VD-A8K8"	-2.0356	-0.8063	-1.98	-1.2134	NA
"TCGA-VD-A8KO"	"TCGA-VD-A8KO"	-2.4525	-1.1835	-3.322	-1.3457	NA
"TCGA-VD-A8KH"	"TCGA-VD-A8KH"	-1.8744	-1.0259	-2.35	-1.1438	NA
"TCGA-VD-A8K9"	"TCGA-VD-A8K9"	-2.6143	-0.9419	-2.266	-1.3154	NA
"TCGA-VD-AA8R"	"TCGA-VD-AA8R"	-3.619	-1.4212	-2.963	-1.3642	NA
"TCGA-V4-A9F3"	"TCGA-V4-A9F3"	-0.6064	-0.3873	-2.324	-0.6793	1.342422681
"TCGA-V4-A9EW"	"TCGA-V4-A9EW"	-1.9835	-0.8827	-2.463	-1.0262	NA
"TCGA-VD-A8KB"	"TCGA-VD-A8KB"	-2.0327	-0.9762	-3.322	-1.3173	NA
"TCGA-V4-A9EM"	"TCGA-V4-A9EM"	-1.4753	-0.5046	-1.595	-0.9161	NA
"TCGA-VD-A8KJ"	"TCGA-VD-A8KJ"	-1.4494	-0.8482	-1.927	-1.1678	NA
"TCGA-V4-A9EE"	"TCGA-V4-A9EE"	-0.7851	-0.4331	-1.613	-0.696	NA
"TCGA-OR-A5KT"	"TCGA-OR-A5KT"	0.0834	-0.2841	-0.362	-0.1855	NA
"TCGA-OR-A5L3"	"TCGA-OR-A5L3"	-1.9933	-1.2381	-3.322	-0.7598	NA
"TCGA-OR-A5LB"	"TCGA-OR-A5LB"	-1.0542	-0.9181	-1.034	-0.7165	NA
"TCGA-OR-A5LK"	"TCGA-OR-A5LK"	-0.9821	-0.5151	-0.534	-0.3017	NA
"TCGA-OR-A5LS"	"TCGA-OR-A5LS"	-3.3638	-1.29	0.772	-0.6568	NA
