"FID"	"IID"	"Sigs160.Wolf_MHC1.21978456"	"Sigs160.Wolf_MHC2.21978456"	"Sigs160.Wolf_Minterferon.Cluster.21214954"	"Sigs160.Wolf_Module11.Prolif.score"	"Sigs160.Wolf_Module3.IFN.score"
"TCGA-FS-A1ZA"	"TCGA-FS-A1ZA"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZJ"	"TCGA-FS-A1ZJ"	NA	NA	NA	NA	NA
"TCGA-FS-A1Z4"	"TCGA-FS-A1Z4"	NA	NA	NA	NA	NA
"TCGA-D9-A1X3"	"TCGA-D9-A1X3"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZM"	"TCGA-FS-A1ZM"	NA	NA	NA	NA	NA
"TCGA-BF-A1PX"	"TCGA-BF-A1PX"	1.0877	0.8712	0.8348	0.3343	0.8158
"TCGA-BF-A1PV"	"TCGA-BF-A1PV"	-1.0801	-1.9865	-1.0619	0.4448	-0.8773
"TCGA-D3-A1QB"	"TCGA-D3-A1QB"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q9"	"TCGA-D3-A1Q9"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q1"	"TCGA-D3-A1Q1"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q6"	"TCGA-D3-A1Q6"	NA	NA	NA	NA	NA
"TCGA-D3-A1QA"	"TCGA-D3-A1QA"	NA	NA	NA	NA	NA
"TCGA-DA-A1IA"	"TCGA-DA-A1IA"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZS"	"TCGA-FS-A1ZS"	NA	NA	NA	NA	NA
"TCGA-FS-A1Z7"	"TCGA-FS-A1Z7"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZT"	"TCGA-FS-A1ZT"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZR"	"TCGA-FS-A1ZR"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZB"	"TCGA-FS-A1ZB"	NA	NA	NA	NA	NA
"TCGA-BF-A1Q0"	"TCGA-BF-A1Q0"	0.2053	1.5312	0.2482	1.0546	0.0528
"TCGA-BF-A1PZ"	"TCGA-BF-A1PZ"	0.5599	-0.8906	0.2405	0.238	0.8755
"TCGA-D9-A1JX"	"TCGA-D9-A1JX"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q8"	"TCGA-D3-A1Q8"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q7"	"TCGA-D3-A1Q7"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q4"	"TCGA-D3-A1Q4"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q5"	"TCGA-D3-A1Q5"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZG"	"TCGA-FS-A1ZG"	NA	NA	NA	NA	NA
"TCGA-D9-A1JW"	"TCGA-D9-A1JW"	NA	NA	NA	NA	NA
"TCGA-DA-A1IB"	"TCGA-DA-A1IB"	NA	NA	NA	NA	NA
"TCGA-EB-A1NK"	"TCGA-EB-A1NK"	0.5106	-0.0893	-0.5389	-0.0325	-0.8619
"TCGA-BJ-A0ZA"	"TCGA-BJ-A0ZA"	-0.6234	-0.4823	-0.4615	-1.8529	-0.8744
"TCGA-BJ-A0Z0"	"TCGA-BJ-A0Z0"	-1.0934	-1.34	-0.8372	-2.1956	-0.8526
"TCGA-BJ-A0ZG"	"TCGA-BJ-A0ZG"	-0.2073	-0.511	-0.3409	-2.4512	-0.4909
"TCGA-C4-A0F7"	"TCGA-C4-A0F7"	-0.8213	-1.4535	-0.902	1.1045	-0.9386
"TCGA-BT-A0S7"	"TCGA-BT-A0S7"	-0.4791	-0.9874	-1.3248	0.8849	-1.5973
"TCGA-CU-A0YN"	"TCGA-CU-A0YN"	-0.326	-0.4767	0.1875	0.9509	0.43
"TCGA-CE-A13K"	"TCGA-CE-A13K"	0.191	-0.023	-0.1808	-1.8378	-0.3843
"TCGA-DJ-A13M"	"TCGA-DJ-A13M"	-0.5877	-0.8911	-0.7849	-2.1737	-0.9817
"TCGA-DJ-A13W"	"TCGA-DJ-A13W"	-0.9061	-1.0094	-0.5531	-1.8619	-0.7896
"TCGA-DE-A0Y2"	"TCGA-DE-A0Y2"	0.1889	-0.678	-0.1674	-1.6202	0.0208
"TCGA-DJ-A13T"	"TCGA-DJ-A13T"	-0.1331	-0.7873	-0.2949	-1.7797	-0.461
"TCGA-BI-A0VR"	"TCGA-BI-A0VR"	0.8819	0.7605	1.3724	1.0502	1.5631
"TCGA-DR-A0ZM"	"TCGA-DR-A0ZM"	1.255	1.2071	1.8285	0.1917	2.2874
"TCGA-C4-A0F6"	"TCGA-C4-A0F6"	-0.7016	-1.0274	-0.769	0.512	-1.7269
"TCGA-BL-A13J"	"TCGA-BL-A13J"	-0.6469	-0.9027	-0.4353	0.5812	-0.6015
"TCGA-DJ-A13U"	"TCGA-DJ-A13U"	0.3966	0.8032	-0.2898	-1.7789	-0.5018
"TCGA-BJ-A0YZ"	"TCGA-BJ-A0YZ"	-0.4446	-0.4678	-0.6149	-1.8546	-0.5649
"TCGA-DS-A0VL"	"TCGA-DS-A0VL"	0.79	-0.1525	0.8374	0.9006	0.7874
"TCGA-DS-A0VM"	"TCGA-DS-A0VM"	1.618	0.2541	1.2139	1.183	1.6099
"TCGA-CU-A0YO"	"TCGA-CU-A0YO"	0.615	0.2013	0.279	-0.3418	0.2962
"TCGA-BT-A0YX"	"TCGA-BT-A0YX"	-0.1674	-0.2189	0.045	0.6325	-0.3435
"TCGA-C4-A0F1"	"TCGA-C4-A0F1"	0.4461	-0.8261	0.388	0.6527	0.6052
"TCGA-CU-A0YR"	"TCGA-CU-A0YR"	-0.3947	0.3328	0.2278	0.8631	-0.1268
"TCGA-BJ-A0ZJ"	"TCGA-BJ-A0ZJ"	0.5774	1.314	0.2682	-1.2289	-0.0875
"TCGA-DJ-A13V"	"TCGA-DJ-A13V"	0.1186	-0.4708	-0.25	-1.2972	-0.5287
"TCGA-BJ-A0ZE"	"TCGA-BJ-A0ZE"	-0.9817	-0.8928	-0.8908	-1.6713	-1.0973
"TCGA-DJ-A13P"	"TCGA-DJ-A13P"	-0.144	-0.3971	-0.2336	-1.9894	-0.279
"TCGA-BJ-A0ZH"	"TCGA-BJ-A0ZH"	0.6586	0.4422	-0.063	-1.4694	-0.0596
"TCGA-C4-A0EZ"	"TCGA-C4-A0EZ"	NA	NA	NA	NA	NA
"TCGA-C4-A0F0"	"TCGA-C4-A0F0"	-0.2696	-0.6951	0.0891	1.0972	0.8806
"TCGA-BJ-A0ZB"	"TCGA-BJ-A0ZB"	-0.1737	0.0723	-0.3565	-1.535	-0.6039
"TCGA-BJ-A0Z2"	"TCGA-BJ-A0Z2"	-0.052	-0.4199	-0.65	-0.8832	-0.925
"TCGA-09-2044"	"TCGA-09-2044"	-0.534	0.2753	0.6419	1.0291	1.3417
"TCGA-24-2262"	"TCGA-24-2262"	0.5711	-0.2465	0.3771	0.7144	0.243
"TCGA-24-2293"	"TCGA-24-2293"	NA	NA	NA	NA	NA
"TCGA-25-2393"	"TCGA-25-2393"	-1.4063	-0.3081	-0.6491	0.8762	-0.9805
"TCGA-25-2408"	"TCGA-25-2408"	NA	NA	NA	NA	NA
"TCGA-59-2350"	"TCGA-59-2350"	-0.045	-0.16	0.9495	1.0274	1.663
"TCGA-09-2045"	"TCGA-09-2045"	0.2184	-0.3048	0.8955	-0.6678	1.7729
"TCGA-24-2267"	"TCGA-24-2267"	0.1084	0.7778	1.1689	0.1846	1.4555
"TCGA-24-2295"	"TCGA-24-2295"	NA	NA	NA	NA	NA
"TCGA-25-2396"	"TCGA-25-2396"	-0.043	0.3785	1.0718	0.8039	1.784
"TCGA-25-2409"	"TCGA-25-2409"	0.4271	0.9278	0.5562	0.0653	0.8807
"TCGA-59-2351"	"TCGA-59-2351"	-0.5619	0.6546	0.5715	0.6501	0.4946
"TCGA-09-2048"	"TCGA-09-2048"	-1.963	-1.0386	-1.3983	0.8873	-1.5275
"TCGA-24-2271"	"TCGA-24-2271"	-0.3697	0.8861	0.7792	0.0804	1.0858
"TCGA-24-2297"	"TCGA-24-2297"	-0.241	-0.4859	0.7519	0.6987	1.5837
