"FID"	"IID"	"Sigs160.Wolf_Buck14.score"	"Sigs160.Wolf_CD103neg.mean.25446897"	"Sigs160.Wolf_CD103pos.CD103neg.ratio.25446897"	"Sigs160.Wolf_CD103pos.mean.25446897"	"Sigs160.Wolf_CD68"
"TCGA-FS-A1ZA"	"TCGA-FS-A1ZA"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZJ"	"TCGA-FS-A1ZJ"	NA	NA	NA	NA	NA
"TCGA-FS-A1Z4"	"TCGA-FS-A1Z4"	NA	NA	NA	NA	NA
"TCGA-D9-A1X3"	"TCGA-D9-A1X3"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZM"	"TCGA-FS-A1ZM"	NA	NA	NA	NA	NA
"TCGA-BF-A1PX"	"TCGA-BF-A1PX"	0.0295	0.7626	0.3296	0.9768	0.997
"TCGA-BF-A1PV"	"TCGA-BF-A1PV"	-0.4185	-1.4985	0.2789	-1.1957	-0.533
"TCGA-D3-A1QB"	"TCGA-D3-A1QB"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q9"	"TCGA-D3-A1Q9"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q1"	"TCGA-D3-A1Q1"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q6"	"TCGA-D3-A1Q6"	NA	NA	NA	NA	NA
"TCGA-D3-A1QA"	"TCGA-D3-A1QA"	NA	NA	NA	NA	NA
"TCGA-DA-A1IA"	"TCGA-DA-A1IA"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZS"	"TCGA-FS-A1ZS"	NA	NA	NA	NA	NA
"TCGA-FS-A1Z7"	"TCGA-FS-A1Z7"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZT"	"TCGA-FS-A1ZT"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZR"	"TCGA-FS-A1ZR"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZB"	"TCGA-FS-A1ZB"	NA	NA	NA	NA	NA
"TCGA-BF-A1Q0"	"TCGA-BF-A1Q0"	0.2346	-0.5289	0.8149	0.1097	0.722
"TCGA-BF-A1PZ"	"TCGA-BF-A1PZ"	-0.2837	-0.9929	0.2679	-0.7272	0.775
"TCGA-D9-A1JX"	"TCGA-D9-A1JX"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q8"	"TCGA-D3-A1Q8"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q7"	"TCGA-D3-A1Q7"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q4"	"TCGA-D3-A1Q4"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q5"	"TCGA-D3-A1Q5"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZG"	"TCGA-FS-A1ZG"	NA	NA	NA	NA	NA
"TCGA-D9-A1JW"	"TCGA-D9-A1JW"	NA	NA	NA	NA	NA
"TCGA-DA-A1IB"	"TCGA-DA-A1IB"	NA	NA	NA	NA	NA
"TCGA-EB-A1NK"	"TCGA-EB-A1NK"	-0.2579	-0.2582	-0.1232	-0.3189	0.965
"TCGA-BJ-A0ZA"	"TCGA-BJ-A0ZA"	0.4667	-0.4859	0.749	0.1032	-0.604
"TCGA-BJ-A0Z0"	"TCGA-BJ-A0Z0"	-0.1523	-1.4832	1.4588	-0.4751	-2.685
"TCGA-BJ-A0ZG"	"TCGA-BJ-A0ZG"	-0.0375	-0.7645	1.1405	0.1093	-1.699
"TCGA-C4-A0F7"	"TCGA-C4-A0F7"	0.3269	-1.2499	1.3856	-0.2553	-0.942
"TCGA-BT-A0S7"	"TCGA-BT-A0S7"	0.3955	-0.3669	0.215	-0.1781	-1.264
"TCGA-CU-A0YN"	"TCGA-CU-A0YN"	-0.1139	-0.2547	0.4269	0.0856	0.762
"TCGA-CE-A13K"	"TCGA-CE-A13K"	0.1529	-0.4105	-0.3753	-0.6169	-1.513
"TCGA-DJ-A13M"	"TCGA-DJ-A13M"	0.0635	-0.9084	0.0567	-0.7792	-1.956
"TCGA-DJ-A13W"	"TCGA-DJ-A13W"	0.3845	-0.5113	0.6548	0.0057	-1.474
"TCGA-DE-A0Y2"	"TCGA-DE-A0Y2"	0.2632	-0.5559	-0.0892	-0.557	-0.465
"TCGA-DJ-A13T"	"TCGA-DJ-A13T"	0.303	-0.3398	-0.4341	-0.5959	-0.954
"TCGA-BI-A0VR"	"TCGA-BI-A0VR"	0.0537	-0.0934	0.8163	0.5621	0
"TCGA-DR-A0ZM"	"TCGA-DR-A0ZM"	0.27	-0.1427	0.3347	0.1218	-0.129
"TCGA-C4-A0F6"	"TCGA-C4-A0F6"	-0.1742	-0.381	0.708	0.1783	0.074
"TCGA-BL-A13J"	"TCGA-BL-A13J"	-0.2439	-0.3144	-0.2156	-0.4307	-0.646
"TCGA-DJ-A13U"	"TCGA-DJ-A13U"	0.4496	-0.7569	0.1136	-0.6061	-1.673
"TCGA-BJ-A0YZ"	"TCGA-BJ-A0YZ"	0.0905	-0.2917	0.0018	-0.2612	-1.405
"TCGA-DS-A0VL"	"TCGA-DS-A0VL"	0.321	-0.4229	-0.0609	-0.421	-0.254
"TCGA-DS-A0VM"	"TCGA-DS-A0VM"	-0.4442	-0.1264	-0.9822	-0.7718	0.579
"TCGA-CU-A0YO"	"TCGA-CU-A0YO"	0.6748	-0.0762	0.9577	0.7026	-0.552
"TCGA-BT-A0YX"	"TCGA-BT-A0YX"	0.1461	0.2391	-0.4604	-0.1369	1.374
"TCGA-C4-A0F1"	"TCGA-C4-A0F1"	-0.1775	-0.8896	-0.3631	-1.0099	0.484
"TCGA-CU-A0YR"	"TCGA-CU-A0YR"	-0.6335	0.7925	-0.2485	0.4928	0.934
"TCGA-BJ-A0ZJ"	"TCGA-BJ-A0ZJ"	0.5175	0.2009	1.1716	1.2007	0.101
"TCGA-DJ-A13V"	"TCGA-DJ-A13V"	0.6092	-0.4246	-0.09	-0.4421	-1.605
"TCGA-BJ-A0ZE"	"TCGA-BJ-A0ZE"	0.5311	-1.5545	0.6429	-1.051	-2.6
"TCGA-DJ-A13P"	"TCGA-DJ-A13P"	0.1373	-0.4252	-0.3602	-0.6195	-1.119
"TCGA-BJ-A0ZH"	"TCGA-BJ-A0ZH"	0.1173	-0.2288	-0.1407	-0.3054	-0.313
"TCGA-C4-A0EZ"	"TCGA-C4-A0EZ"	NA	NA	NA	NA	NA
"TCGA-C4-A0F0"	"TCGA-C4-A0F0"	-0.8185	-0.8888	0.4644	-0.5021	-0.217
"TCGA-BJ-A0ZB"	"TCGA-BJ-A0ZB"	0.4085	-0.6424	-0.3994	-0.825	-1.434
"TCGA-BJ-A0Z2"	"TCGA-BJ-A0Z2"	0.8805	-1.0035	0.5971	-0.5277	-2.042
"TCGA-09-2044"	"TCGA-09-2044"	-0.5077	0.5717	-1.062	-0.3057	0.508
"TCGA-24-2262"	"TCGA-24-2262"	0.019	-0.2502	0.4456	0.1043	-0.391
"TCGA-24-2293"	"TCGA-24-2293"	NA	NA	NA	NA	NA
"TCGA-25-2393"	"TCGA-25-2393"	0.2122	-0.6716	0.3912	-0.3417	-0.291
"TCGA-25-2408"	"TCGA-25-2408"	NA	NA	NA	NA	NA
"TCGA-59-2350"	"TCGA-59-2350"	0.4121	-0.0543	-0.6053	-0.4757	-0.386
"TCGA-09-2045"	"TCGA-09-2045"	0.4316	-0.1406	0.0177	-0.1145	-0.481
"TCGA-24-2267"	"TCGA-24-2267"	0.7992	0.9729	-0.5338	0.4054	0.762
"TCGA-24-2295"	"TCGA-24-2295"	NA	NA	NA	NA	NA
"TCGA-25-2396"	"TCGA-25-2396"	-0.0048	0.2655	-0.7281	-0.306	0.283
"TCGA-25-2409"	"TCGA-25-2409"	0.1979	0.7658	-1.3445	-0.3614	0.239
"TCGA-59-2351"	"TCGA-59-2351"	0.3364	0.4916	0.0364	0.4679	0.548
"TCGA-09-2048"	"TCGA-09-2048"	-0.0589	-0.7481	0.3086	-0.4705	-1.436
"TCGA-24-2271"	"TCGA-24-2271"	0.5662	-0.0146	0.5704	0.435	-0.652
"TCGA-24-2297"	"TCGA-24-2297"	0.0455	-0.3592	-0.2687	-0.5044	-1.13
