"FID"	"IID"	"Sigs160.Wolf_CSF1.response"	"Sigs160.Wolf_CSR.Activated.15701700"	"Sigs160.Wolf_CTLA4.data"	"Sigs160.Wolf_DAP12.data"	"Sigs160.Wolf_GP11.Immune.IFN"
"TCGA-FU-A3HY"	"TCGA-FU-A3HY"	-1.0851	0.4318	-0.845	-1.434	-0.0174
"TCGA-A7-A2KD"	"TCGA-A7-A2KD"	0.3647	-0.0371	1.101	0.396	0.2701
"TCGA-B5-A11P"	"TCGA-B5-A11P"	-0.854	0.0563	-2.06	-1.542	-0.2732
"TCGA-A5-A1OF"	"TCGA-A5-A1OF"	0.4677	0.1574	1.917	1.175	0.4643
"TCGA-D8-A1XG"	"TCGA-D8-A1XG"	-0.3868	-0.0955	-2.244	-0.459	0.1371
"TCGA-EW-A1P1"	"TCGA-EW-A1P1"	0.697	-0.116	0.536	0.664	0.0951
"TCGA-E2-A1LK"	"TCGA-E2-A1LK"	-0.3742	0.2145	-1.439	-0.048	0.3271
"TCGA-E9-A1NI"	"TCGA-E9-A1NI"	-0.2456	0.042	-0.575	0.243	0.5236
"TCGA-E2-A1IU"	"TCGA-E2-A1IU"	-0.2102	-0.1395	-0.832	-0.226	-0.0864
"TCGA-D8-A1X5"	"TCGA-D8-A1X5"	0.2977	-0.0403	-0.051	0.195	-0.0579
"TCGA-E9-A1R2"	"TCGA-E9-A1R2"	-0.1404	-0.0349	0.377	-0.412	0.1926
"TCGA-E2-A1LH"	"TCGA-E2-A1LH"	0.9515	0.0824	1.711	1.546	0.4586
"TCGA-D8-A1XB"	"TCGA-D8-A1XB"	-0.3855	-0.1544	-0.346	-0.329	-0.2784
"TCGA-E9-A1R4"	"TCGA-E9-A1R4"	0.842	-0.1101	1.445	0.6	0.4001
"TCGA-D1-A1NZ"	"TCGA-D1-A1NZ"	-0.1971	0.0703	0.445	-0.25	0.0918
"TCGA-D1-A1O5"	"TCGA-D1-A1O5"	-0.1559	0.0214	-1.556	0.688	0.0783
"TCGA-B5-A1MV"	"TCGA-B5-A1MV"	-0.2843	0.1436	-1.292	-0.429	-0.2879
"TCGA-D8-A1XC"	"TCGA-D8-A1XC"	-0.7011	-0.184	-2.812	-0.661	-0.3039
"TCGA-E9-A1RA"	"TCGA-E9-A1RA"	-0.0613	0.0088	-0.836	-0.018	-0.1754
"TCGA-E9-A1RG"	"TCGA-E9-A1RG"	-0.1218	0.2108	0.355	0.712	0.0201
"TCGA-A5-A1OG"	"TCGA-A5-A1OG"	-0.2658	0.2088	0.749	0.325	0.3773
"TCGA-D1-A1O7"	"TCGA-D1-A1O7"	-0.6002	0.226	-0.898	-0.514	0.2718
"TCGA-B5-A1MR"	"TCGA-B5-A1MR"	1.0961	0.1953	1.927	1.754	0.0443
"TCGA-E9-A1NF"	"TCGA-E9-A1NF"	0.3843	-0.0534	0.479	0.723	0.3046
"TCGA-BH-A1FU"	"TCGA-BH-A1FU"	0.2461	-0.0684	0.223	-0.535	-0.1584
"TCGA-E2-A1IL"	"TCGA-E2-A1IL"	-0.5444	-0.2486	-1.742	-0.51	0.1371
"TCGA-D8-A1XA"	"TCGA-D8-A1XA"	-0.1393	-0.1802	-0.485	-0.053	0.2536
"TCGA-D8-A1XF"	"TCGA-D8-A1XF"	-0.8001	0.0993	-0.903	-1.011	1e-04
"TCGA-E9-A1N9"	"TCGA-E9-A1N9"	-0.1953	0.0112	0.255	-0.7	-0.1394
"TCGA-D1-A1NS"	"TCGA-D1-A1NS"	-0.4808	0.1257	-1.009	-0.422	-0.1957
"TCGA-A5-A1OJ"	"TCGA-A5-A1OJ"	0.0184	-0.2394	-1.098	0	0.0481
"TCGA-D1-A1NU"	"TCGA-D1-A1NU"	-0.4283	0.2339	-0.674	-0.268	0.5376
"TCGA-BS-A0V4"	"TCGA-BS-A0V4"	-1.4743	0.1674	-0.683	-0.821	-0.1684
"TCGA-B5-A0JU"	"TCGA-B5-A0JU"	-1.3211	0.1097	-1.202	-2.312	0.0791
"TCGA-BS-A0VI"	"TCGA-BS-A0VI"	-0.7762	0.0921	-0.618	0.004	-0.1537
"TCGA-D1-A1O8"	"TCGA-D1-A1O8"	0.819	0.1573	2.512	1.4	0.5588
"TCGA-A2-A1FZ"	"TCGA-A2-A1FZ"	0.3623	-0.1815	-0.952	0.611	-0.1134
"TCGA-E9-A1R6"	"TCGA-E9-A1R6"	-0.5324	-0.0364	-0.097	-0.264	-0.0689
"TCGA-E9-A1N5"	"TCGA-E9-A1N5"	0.3327	-0.1392	-0.057	0.379	0.1486
"TCGA-XF-A8HD"	"TCGA-XF-A8HD"	0.1444	0.3154	1.275	0.071	0.8006
"TCGA-E7-A8O8"	"TCGA-E7-A8O8"	-1.2367	0.3079	-1.187	-1.185	-0.1669
"TCGA-XF-A8HF"	"TCGA-XF-A8HF"	-0.3614	0.1916	0.847	0.024	-0.0864
"TCGA-E7-A8O7"	"TCGA-E7-A8O7"	-0.425	-0.0638	-0.228	-1.249	0.2801
"TCGA-XF-A8HC"	"TCGA-XF-A8HC"	-2.1364	0.1865	-1.541	-3.505	-0.2334
"TCGA-LT-A8JT"	"TCGA-LT-A8JT"	-0.9276	0.1108	0.504	-1.437	-0.1169
"TCGA-XF-A8HG"	"TCGA-XF-A8HG"	-1.3565	0.0969	-2.379	-1.456	-0.7999
"TCGA-UY-A8OC"	"TCGA-UY-A8OC"	-0.5188	0.2873	-0.619	-0.33	-0.0444
"TCGA-UY-A8OD"	"TCGA-UY-A8OD"	0.083	0.0055	0.959	0.249	-0.1934
"TCGA-CF-A8HX"	"TCGA-CF-A8HX"	-1.4802	0.045	-0.802	-1.5	-0.0174
"TCGA-CF-A8HY"	"TCGA-CF-A8HY"	-1.5208	0.3039	-0.89	-1.366	-0.2504
"TCGA-XF-A8HB"	"TCGA-XF-A8HB"	-1.2307	0.42	-1.546	-1.026	0.0791
"TCGA-VM-A8CB"	"TCGA-VM-A8CB"	-1.1979	-0.1679	-2.116	-0.973	-0.9314
"TCGA-VW-A8FI"	"TCGA-VW-A8FI"	0.2494	-0.0389	-0.532	1.113	0.2721
"TCGA-TM-A84H"	"TCGA-TM-A84H"	-0.5034	-0.3149	-2.283	-0.398	-0.8214
"TCGA-W9-A837"	"TCGA-W9-A837"	-0.8457	-0.3941	-2.138	-1.216	-0.6574
"TCGA-VM-A8CD"	"TCGA-VM-A8CD"	0.3307	-0.1325	-1.421	0.417	0.4376
"TCGA-TM-A84R"	"TCGA-TM-A84R"	-0.9214	-0.4176	-1.026	-1.338	-0.8244
"TCGA-WY-A85C"	"TCGA-WY-A85C"	-0.3248	-0.216	-2.21	-0.225	-0.6534
"TCGA-S9-A89V"	"TCGA-S9-A89V"	0.0547	-0.4199	-1.423	-0.248	-0.4294
"TCGA-TM-A84T"	"TCGA-TM-A84T"	-0.1386	-0.2793	-1.98	0.343	-0.7069
"TCGA-RY-A83X"	"TCGA-RY-A83X"	-0.7729	-0.2803	-2.669	-0.73	-0.8474
"TCGA-VM-A8CF"	"TCGA-VM-A8CF"	0.6093	-0.2034	-0.87	1.981	-0.3294
"TCGA-WY-A858"	"TCGA-WY-A858"	0.6941	-0.2239	-0.821	1.415	-0.2414
"TCGA-QH-A870"	"TCGA-QH-A870"	-0.5518	-0.288	-2.814	-0.464	-0.7479
"TCGA-RY-A83Z"	"TCGA-RY-A83Z"	-0.2868	0.0611	-1.161	0.764	-0.7084
"TCGA-RY-A847"	"TCGA-RY-A847"	0.0497	-0.3473	-0.51	0.219	-0.2554
"TCGA-TM-A84B"	"TCGA-TM-A84B"	-0.7076	-0.0946	-1.717	-1.017	-0.2824
"TCGA-F6-A8O3"	"TCGA-F6-A8O3"	-1.212	-0.1936	-2.747	-1.478	-0.7904
"TCGA-TM-A84S"	"TCGA-TM-A84S"	-0.1725	-0.3069	-2.805	0.078	-0.4589
"TCGA-S9-A89Z"	"TCGA-S9-A89Z"	0.5171	-0.1557	-1.424	1.026	-0.4459
"TCGA-RY-A83Y"	"TCGA-RY-A83Y"	-0.288	-0.2187	-2.466	0.314	-0.5144
"TCGA-WY-A85E"	"TCGA-WY-A85E"	-0.7942	-0.1642	-2.118	-0.559	-0.4874
"TCGA-EL-A3T9"	"TCGA-EL-A3T9"	0.0758	-0.1251	1.211	-0.003	-0.2154
"TCGA-FY-A3W9"	"TCGA-FY-A3W9"	-1.1919	-0.1377	-1.765	-1.66	-0.5829
"TCGA-FV-A2QQ"	"TCGA-FV-A2QQ"	-0.0381	-0.0749	-0.047	0.316	-0.0244
"TCGA-FK-A3S3"	"TCGA-FK-A3S3"	-0.5361	-0.1842	-1.386	-1.058	-0.1639
"TCGA-IM-A3U2"	"TCGA-IM-A3U2"	-0.5943	-0.1485	-0.224	-0.601	-0.2379
"TCGA-FK-A3SD"	"TCGA-FK-A3SD"	-1.7144	-0.0925	-3.179	-1.879	-0.5254
"TCGA-EL-A3TA"	"TCGA-EL-A3TA"	0.4248	-0.258	0.248	1.091	-0.0529
"TCGA-FK-A3SE"	"TCGA-FK-A3SE"	-0.4246	-0.2135	-1.222	-0.729	-0.2674
"TCGA-FV-A3I1"	"TCGA-FV-A3I1"	0.1057	-0.1351	0.935	0.17	0.1386
"TCGA-DD-A3A3"	"TCGA-DD-A3A3"	-0.8866	0.0448	-0.49	-0.048	-0.1359
"TCGA-FV-A3R2"	"TCGA-FV-A3R2"	-0.7576	-0.0544	-1.106	-0.763	0.0811
"TCGA-DD-A3A4"	"TCGA-DD-A3A4"	-1.6817	-0.0224	-3.179	-2.035	-0.0174
"TCGA-DD-A3A5"	"TCGA-DD-A3A5"	-1.0469	-6e-04	-3.179	-0.745	0.1606
"TCGA-FV-A3R3"	"TCGA-FV-A3R3"	0.2196	-0.2427	-0.918	0.276	-0.0894
"TCGA-DD-A3A7"	"TCGA-DD-A3A7"	-1.2814	0.1536	-0.706	-0.581	-0.2084
"TCGA-CC-A3MC"	"TCGA-CC-A3MC"	-0.509	0.0013	-0.46	-0.014	-0.0174
"TCGA-EL-A3TB"	"TCGA-EL-A3TB"	-0.3547	-0.191	-0.36	-0.428	-0.1914
"TCGA-FK-A3SH"	"TCGA-FK-A3SH"	-0.8767	-0.1939	-1.153	-0.564	-0.2709
"TCGA-IM-A3U3"	"TCGA-IM-A3U3"	-0.0152	-0.2309	0.619	-0.07	-0.1824
"TCGA-DD-A3A8"	"TCGA-DD-A3A8"	-1.3012	-0.1378	-1.513	-1.159	-0.1974
"TCGA-FV-A3I0"	"TCGA-FV-A3I0"	NA	NA	NA	NA	NA
"TCGA-G3-A3CH"	"TCGA-G3-A3CH"	-0.2702	-0.1734	-1.026	0.462	0.0746
"TCGA-FK-A3SG"	"TCGA-FK-A3SG"	-0.4488	-0.09	-1.008	-0.29	-0.1854
"TCGA-FK-A3SB"	"TCGA-FK-A3SB"	-0.5587	-0.2535	-1.794	-0.908	-0.2844
"TCGA-EL-A3T8"	"TCGA-EL-A3T8"	-0.2289	-0.2199	-1.425	-0.434	-0.1074
"TCGA-EP-A3RK"	"TCGA-EP-A3RK"	0.6997	0.0258	1.455	1.427	-0.0174
"TCGA-BD-A3EP"	"TCGA-BD-A3EP"	0.4956	-0.1259	1.197	0.501	0.0296
"TCGA-DD-A3A6"	"TCGA-DD-A3A6"	NA	NA	NA	NA	NA
"TCGA-HC-7745"	"TCGA-HC-7745"	NA	NA	NA	NA	NA
"TCGA-HC-7738"	"TCGA-HC-7738"	NA	NA	NA	NA	NA
"TCGA-FC-7708"	"TCGA-FC-7708"	-0.3582	-0.2507	0.193	-0.874	-0.3284
"TCGA-EJ-7791"	"TCGA-EJ-7791"	-0.3838	-0.2663	-0.684	-0.922	-0.3289
"TCGA-HC-7737"	"TCGA-HC-7737"	-0.0887	-0.1926	0.524	-0.426	-0.3324
"TCGA-EJ-7786"	"TCGA-EJ-7786"	-0.8661	-0.2296	-1.333	-1.473	-0.6829
"TCGA-HC-7740"	"TCGA-HC-7740"	-0.4757	-0.2492	-0.595	-0.938	-0.1259
"TCGA-HC-7752"	"TCGA-HC-7752"	NA	NA	NA	NA	NA
"TCGA-HC-7747"	"TCGA-HC-7747"	-0.2791	-0.1195	-0.441	-0.249	-0.2189
"TCGA-EJ-7792"	"TCGA-EJ-7792"	-0.0252	-0.2024	-0.121	-0.367	-0.2974
"TCGA-H9-7775"	"TCGA-H9-7775"	-0.9212	-0.157	-1.797	-1.216	-0.7324
"TCGA-EJ-7794"	"TCGA-EJ-7794"	-0.1836	-0.2422	-1.045	-0.631	-0.3274
"TCGA-EJ-7789"	"TCGA-EJ-7789"	-0.8398	-0.0181	-1.698	-0.988	-0.8249
"TCGA-EJ-7785"	"TCGA-EJ-7785"	-0.1726	-0.2293	-0.686	-0.958	-0.4164
"TCGA-EJ-7328"	"TCGA-EJ-7328"	0.111	-0.1607	0.473	0.089	-0.1329
"TCGA-HC-7742"	"TCGA-HC-7742"	-0.9967	-0.0912	-1.544	-1.036	-0.6079
"TCGA-EJ-7783"	"TCGA-EJ-7783"	-0.4867	-0.2569	-0.318	-1.2	-0.4559
"TCGA-EJ-7331"	"TCGA-EJ-7331"	-0.3129	-0.2158	-0.21	-0.795	-0.2659
"TCGA-EJ-7782"	"TCGA-EJ-7782"	-0.6456	-0.1985	-0.344	-0.992	-0.6249
"TCGA-EJ-7784"	"TCGA-EJ-7784"	-0.8982	-0.1709	-0.762	-1.446	-0.6479
"TCGA-EJ-7330"	"TCGA-EJ-7330"	-0.575	-0.2054	-1.295	-1.044	-0.2429
"TCGA-EJ-7788"	"TCGA-EJ-7788"	-0.5742	-0.1398	-0.321	-0.951	-0.5239
"TCGA-F2-6879"	"TCGA-F2-6879"	0.1953	-0.1178	-0.424	0.149	0.4031
"TCGA-HC-7818"	"TCGA-HC-7818"	-0.4908	-0.1398	-0.885	-0.754	-0.3224
"TCGA-HC-7819"	"TCGA-HC-7819"	NA	NA	NA	NA	NA
"TCGA-EJ-7781"	"TCGA-EJ-7781"	-0.4352	-0.2091	-0.307	-1.031	-0.4469
"TCGA-HC-7821"	"TCGA-HC-7821"	0.0133	-0.2209	-0.277	-0.099	-0.1944
"TCGA-HC-7820"	"TCGA-HC-7820"	-1.2413	-0.1701	-1.118	-1.619	-0.2414
"TCGA-CH-5761"	"TCGA-CH-5761"	-0.5789	0.0532	-2.187	-0.611	0.1511
"TCGA-CH-5771"	"TCGA-CH-5771"	0.1044	-0.226	-0.184	0.26	-0.1884
"TCGA-CH-5763"	"TCGA-CH-5763"	-0.532	-0.2164	-0.652	-1.181	-0.3044
"TCGA-CH-5738"	"TCGA-CH-5738"	0.2338	-0.1883	0.139	0.037	-0.2779
"TCGA-CH-5765"	"TCGA-CH-5765"	-1.2502	-0.0931	-1.347	-1.783	-0.8914
"TCGA-CH-5752"	"TCGA-CH-5752"	-0.9036	0.0259	-0.975	-1.38	-0.7304
"TCGA-CH-5754"	"TCGA-CH-5754"	0.0734	-0.013	1.151	-0.132	0.4911
"TCGA-CH-5745"	"TCGA-CH-5745"	-0.3197	-0.248	0.27	-0.717	-0.1284
"TCGA-CH-5737"	"TCGA-CH-5737"	-1.1174	-0.0947	-1.958	-1.303	-0.7214
"TCGA-CH-5772"	"TCGA-CH-5772"	-0.8168	-0.0086	-1.431	-1.045	-0.4014
"TCGA-CH-5748"	"TCGA-CH-5748"	-1.1101	-0.1151	-0.945	-1.89	-0.4074
"TCGA-CH-5788"	"TCGA-CH-5788"	-1.15	0.0265	-1.379	-1.64	-0.6609
"TCGA-CH-5739"	"TCGA-CH-5739"	-0.3959	-0.1994	0.612	-0.919	-0.3754
"TCGA-CH-5741"	"TCGA-CH-5741"	-1.4103	-0.0278	-2.063	-1.552	-0.8489
"TCGA-CH-5791"	"TCGA-CH-5791"	-0.7354	-0.1856	-1.05	-0.895	-0.5884
"TCGA-CH-5743"	"TCGA-CH-5743"	0.0632	-0.2136	0.609	-0.442	-0.0384
"TCGA-CH-5768"	"TCGA-CH-5768"	-0.8779	-0.0694	-1.561	-1.187	-0.4954
"TCGA-CH-5792"	"TCGA-CH-5792"	0.193	-0.2012	-0.247	0.1	-0.1744
"TCGA-CH-5744"	"TCGA-CH-5744"	-0.7112	-0.0957	-0.097	-0.8	-0.4089
"TCGA-EJ-5494"	"TCGA-EJ-5494"	-0.4996	-0.1261	0.543	-0.388	-0.4394
"TCGA-CH-5746"	"TCGA-CH-5746"	-1.1633	-0.136	-0.977	-1.727	-0.5849
"TCGA-CH-5750"	"TCGA-CH-5750"	-0.2742	-0.0584	0.627	-1.098	-0.2044
"TCGA-CH-5764"	"TCGA-CH-5764"	-0.7145	-0.1445	0.234	-1.418	-0.4494
"TCGA-CH-5789"	"TCGA-CH-5789"	-0.3817	-0.2105	-0.771	-0.665	-0.5059
"TCGA-CH-5740"	"TCGA-CH-5740"	-0.7657	-0.1154	0.062	-1.28	-0.5499
"TCGA-CH-5753"	"TCGA-CH-5753"	-0.6303	-0.0862	0.571	-1.098	0.2816
"TCGA-CQ-7065"	"TCGA-CQ-7065"	-1.7038	0.1773	-2.53	-2.989	0.6126
"TCGA-CV-7413"	"TCGA-CV-7413"	0.2441	0.1055	1.501	0.473	0.3556
"TCGA-CV-7406"	"TCGA-CV-7406"	-0.5119	0.1177	-0.698	-0.76	-0.3309
"TCGA-CV-7407"	"TCGA-CV-7407"	0.3138	0.1598	1.54	0.545	0.5361
"TCGA-CV-7410"	"TCGA-CV-7410"	1.0937	0.0995	1.89	0.418	0.3756
"TCGA-CV-7411"	"TCGA-CV-7411"	-0.4827	0.0328	0.298	-0.833	0.2021
"TCGA-EO-A3B0"	"TCGA-EO-A3B0"	-0.1422	0.3553	0.76	1.063	-0.2114
"TCGA-EO-A3AY"	"TCGA-EO-A3AY"	-0.3414	0.5101	1.324	0.858	0.5081
"TCGA-CR-6488"	"TCGA-CR-6488"	0.6859	0.0118	1.379	0.953	0.1796
"TCGA-CR-6492"	"TCGA-CR-6492"	0.0598	0.146	1.05	-0.183	0.6376
"TCGA-BB-4217"	"TCGA-BB-4217"	0.6992	0.2681	1.558	-0.495	0.1696
"TCGA-B5-A3FD"	"TCGA-B5-A3FD"	-0.6631	0.254	-1.565	0.031	-0.0194
"TCGA-AJ-A3BG"	"TCGA-AJ-A3BG"	-0.9364	0.3456	-2.051	-0.346	-0.1344
"TCGA-AJ-A3BH"	"TCGA-AJ-A3BH"	-0.1759	0.0623	0.444	-0.499	-0.1509
"TCGA-EO-A3AU"	"TCGA-EO-A3AU"	-0.2662	0.225	1.094	-0.805	0.2861
"TCGA-AJ-A3BK"	"TCGA-AJ-A3BK"	0.1812	0.3037	0.462	0.908	0.3476
"TCGA-EO-A3AV"	"TCGA-EO-A3AV"	0.2467	0.2649	1.328	0.814	0.7881
"TCGA-AJ-A3EJ"	"TCGA-AJ-A3EJ"	0.1286	0.1121	-0.664	0.53	0.5681
"TCGA-AJ-A3EK"	"TCGA-AJ-A3EK"	0.2482	0.2953	1.131	0.137	-0.3584
"TCGA-B5-A3FA"	"TCGA-B5-A3FA"	-0.5537	0.2039	-0.008	-0.575	0.5256
"TCGA-CQ-7068"	"TCGA-CQ-7068"	0.5303	0.2395	2.136	0.694	1.0271
"TCGA-DI-A2QY"	"TCGA-DI-A2QY"	-1.2954	0.1289	-0.972	-1.117	0.0771
"TCGA-B5-A3FB"	"TCGA-B5-A3FB"	-0.5459	0.2982	0.131	-0.364	-0.0019
"TCGA-B5-A3FH"	"TCGA-B5-A3FH"	-0.3541	0.0573	-0.308	-0.196	-0.1769
"TCGA-DI-A2QT"	"TCGA-DI-A2QT"	-0.8079	0.2833	-0.798	-0.455	0.4926
"TCGA-CX-7086"	"TCGA-CX-7086"	-0.5303	0.2741	0.527	-1.156	0.3596
"TCGA-AJ-A3BD"	"TCGA-AJ-A3BD"	-0.2438	0.39	0.981	0.649	0.5021
"TCGA-EO-A3B1"	"TCGA-EO-A3B1"	0.0949	0.1199	0.09	0.334	-0.0414
"TCGA-EO-A3AS"	"TCGA-EO-A3AS"	-0.2206	0.019	-1.513	-0.306	0.0606
"TCGA-D1-A3DH"	"TCGA-D1-A3DH"	-1.5045	0.2597	-2.474	-2.307	0.1266
"TCGA-EO-A3AZ"	"TCGA-EO-A3AZ"	0.3814	0.4141	1.902	1.711	0.3351
"TCGA-D1-A3DG"	"TCGA-D1-A3DG"	-1.1293	0.3196	-1.644	-0.608	-0.0174
"TCGA-86-7953"	"TCGA-86-7953"	NA	NA	NA	NA	NA
"TCGA-73-7498"	"TCGA-73-7498"	0.4368	-0.3784	0.613	0.249	-0.1429
"TCGA-AJ-A3IA"	"TCGA-AJ-A3IA"	0.0826	0.1659	0.183	0.018	0.3041
"TCGA-95-7944"	"TCGA-95-7944"	NA	NA	NA	NA	NA
"TCGA-55-7728"	"TCGA-55-7728"	1.6146	-0.2865	1.674	2.895	0.4311
"TCGA-86-7955"	"TCGA-86-7955"	NA	NA	NA	NA	NA
"TCGA-AX-A3G6"	"TCGA-AX-A3G6"	-0.3449	0.3584	-1.455	0.518	0.3016
"TCGA-AJ-A3EL"	"TCGA-AJ-A3EL"	-0.0977	0.3946	1.971	0.495	0.5491
"TCGA-97-7941"	"TCGA-97-7941"	0.5858	-0.2962	0.237	0.465	0.2536
"TCGA-86-7954"	"TCGA-86-7954"	NA	NA	NA	NA	NA
"TCGA-93-7347"	"TCGA-93-7347"	1.3035	-0.2713	1.729	1.218	0.1671
"TCGA-95-7948"	"TCGA-95-7948"	-0.2547	-0.0023	-0.506	0.067	0.1246
"TCGA-AJ-A3EM"	"TCGA-AJ-A3EM"	-1.8282	0.4231	-3.179	-2.311	0.1441
"TCGA-E3-A3DY"	"TCGA-E3-A3DY"	0.1886	-0.2795	-0.214	0	-0.2209
"TCGA-EL-A3H8"	"TCGA-EL-A3H8"	-0.5484	-0.3095	-0.565	-1.242	-0.3559
"TCGA-E3-A3E1"	"TCGA-E3-A3E1"	-0.1097	-0.1748	-0.761	0.124	-0.3959
"TCGA-E3-A3E3"	"TCGA-E3-A3E3"	-0.3757	-0.2053	-0.813	-0.756	-0.2489
"TCGA-D1-A3DA"	"TCGA-D1-A3DA"	-0.5595	0.0187	-2.122	-0.778	-0.1729
"TCGA-DF-A2KY"	"TCGA-DF-A2KY"	0.0207	0.3668	0.898	1.38	0.4501
"TCGA-DF-A2KZ"	"TCGA-DF-A2KZ"	-0.2113	0.1681	-0.248	0.2	0.3071
"TCGA-AP-A3K1"	"TCGA-AP-A3K1"	-0.9533	0.2913	-0.806	-0.55	-0.4914
"TCGA-AX-A3G7"	"TCGA-AX-A3G7"	-0.0817	0.0343	-1.372	0.821	0.6731
"TCGA-EL-A3H2"	"TCGA-EL-A3H2"	-0.629	-0.235	-2.321	-1.185	-0.4464
"TCGA-EL-A3CN"	"TCGA-EL-A3CN"	0.5018	-0.2399	1.128	0.243	0.3296
"TCGA-EM-A3AR"	"TCGA-EM-A3AR"	-0.4932	-0.309	-0.955	-0.999	-0.3019
"TCGA-E3-A3DZ"	"TCGA-E3-A3DZ"	-1.2961	-0.1111	-1.632	-2.151	-0.5259
"TCGA-E3-A3E2"	"TCGA-E3-A3E2"	0.6084	-0.1299	1.388	-0.014	-0.1104
"TCGA-EL-A3N3"	"TCGA-EL-A3N3"	0.5067	-0.2708	1.092	0.26	-0.1179
"TCGA-EM-A3AQ"	"TCGA-EM-A3AQ"	-0.3993	-0.1972	-0.927	-0.468	-0.2554
"TCGA-AJ-A3BI"	"TCGA-AJ-A3BI"	-0.6191	0.4407	1.542	0.292	0.3876
"TCGA-AJ-A3BF"	"TCGA-AJ-A3BF"	-0.9675	0.3203	-0.574	-0.802	0.3966
"TCGA-AX-A3GI"	"TCGA-AX-A3GI"	-1.4214	0.1997	-1.926	-1.638	0.2936
"TCGA-CE-A3MD"	"TCGA-CE-A3MD"	0.0031	-0.174	-0.327	0.054	0.1096
"TCGA-EL-A3MW"	"TCGA-EL-A3MW"	0.0966	-0.2298	-2.326	0.435	-0.2484
"TCGA-EL-A3GS"	"TCGA-EL-A3GS"	-0.5991	-0.1892	-1.232	-1.371	0.1526
"TCGA-CE-A3ME"	"TCGA-CE-A3ME"	-0.3873	-0.1781	-0.636	-0.526	-0.0074
"TCGA-E3-A3E0"	"TCGA-E3-A3E0"	-0.0937	-0.1479	0.478	-0.322	-0.1759
"TCGA-DE-A3KN"	"TCGA-DE-A3KN"	-0.5142	-0.2817	-1.159	-1.334	-0.3384
"TCGA-E3-A3E5"	"TCGA-E3-A3E5"	-0.6962	-0.2173	-1.325	-1.093	-0.1834
"TCGA-EL-A3GZ"	"TCGA-EL-A3GZ"	-0.2865	-0.2292	-0.431	-0.632	-0.1504
"TCGA-EL-A3N2"	"TCGA-EL-A3N2"	-0.2394	-0.2577	-0.202	-0.639	-0.1539
"TCGA-73-7499"	"TCGA-73-7499"	0.9403	0.1477	1.651	1.891	0.4421
"TCGA-95-7947"	"TCGA-95-7947"	0.4776	-0.0227	0.819	0.059	0.1996
"TCGA-63-A5MG"	"TCGA-63-A5MG"	0.4188	0.0503	1.142	0.065	0.0756
"TCGA-77-A5GB"	"TCGA-77-A5GB"	0.3878	0.1482	1.284	0.583	-0.0174
"TCGA-63-A5MH"	"TCGA-63-A5MH"	-0.5206	0.195	0.498	-1.398	-0.2099
"TCGA-77-A5G1"	"TCGA-77-A5G1"	0.5419	0.0517	0.669	0.504	-0.1654
"TCGA-77-A5GF"	"TCGA-77-A5GF"	0.0416	0.1115	0.555	-0.483	0.3166
"TCGA-56-A5DS"	"TCGA-56-A5DS"	0.325	-0.0288	0.81	-0.254	-0.0499
"TCGA-77-A5G3"	"TCGA-77-A5G3"	-0.2674	0.1238	-0.036	-0.409	-0.1654
"TCGA-63-A5MJ"	"TCGA-63-A5MJ"	-0.0321	0.2565	0.985	0.127	0.3976
"TCGA-77-A5G6"	"TCGA-77-A5G6"	-0.46	0.151	-0.505	-0.817	-0.3499
"TCGA-94-A5I6"	"TCGA-94-A5I6"	-0.2352	0.153	0.306	-0.472	-0.1594
"TCGA-56-A5DR"	"TCGA-56-A5DR"	-0.0519	0.2437	0.617	-0.25	-0.0159
"TCGA-63-A5MN"	"TCGA-63-A5MN"	1.3392	-0.0444	2.62	1.176	0.2266
"TCGA-37-A5EM"	"TCGA-37-A5EM"	0.6576	0.1326	1.987	0.488	0.3266
"TCGA-63-A5ML"	"TCGA-63-A5ML"	0.142	0.0246	0.631	-0.252	0.3246
"TCGA-77-A5G7"	"TCGA-77-A5G7"	-0.7884	0.3588	0.391	-1.345	-0.3364
"TCGA-O2-A5IB"	"TCGA-O2-A5IB"	-1.1505	0.1837	-0.243	-1.811	-0.0264
"TCGA-77-A5G8"	"TCGA-77-A5G8"	0.1695	0.1301	0.414	-0.04	-0.1999
"TCGA-FD-A5C0"	"TCGA-FD-A5C0"	-0.5196	0.1615	-0.738	-0.615	-0.3104
"TCGA-DU-A5TP"	"TCGA-DU-A5TP"	0.6212	-0.0269	-1.825	0.92	-0.0234
"TCGA-FG-8189"	"TCGA-FG-8189"	-1.2263	-0.4701	-2.141	-1.536	-0.8909
"TCGA-CF-A5UA"	"TCGA-CF-A5UA"	-1.3441	0.4012	-1.044	-0.864	-0.0334
"TCGA-DU-A5TR"	"TCGA-DU-A5TR"	0.9004	-0.2699	0.139	1.703	-0.2129
"TCGA-FG-A4MU"	"TCGA-FG-A4MU"	0.4653	-0.0136	-1.154	0.751	-0.1504
"TCGA-CU-A5W6"	"TCGA-CU-A5W6"	-0.5779	0.1036	-0.302	-0.661	0.2836
"TCGA-DU-A5TS"	"TCGA-DU-A5TS"	-0.2549	-0.2404	-1.768	0.37	-0.6759
"TCGA-FG-A60J"	"TCGA-FG-A60J"	-0.0164	-0.3171	-1.088	0.278	-0.4529
