"FID"	"IID"	"Sigs160.Attractors_G.GIMAP4"	"Sigs160.Attractors_G.HLA.DPA1"	"Sigs160.Attractors_G.LILRB4"	"Sigs160.Attractors_G.SIGLEC9"	"Sigs160.Attractors_G.SLAMF6"
"TCGA-B8-A54I"	"TCGA-B8-A54I"	9.485574422	13.62282272	8.770392833	7.507150281	8.858951339
"TCGA-A3-A6NN"	"TCGA-A3-A6NN"	10.82862442	13.42299631	8.507374144	7.053575408	7.002586927
"TCGA-A3-A6NL"	"TCGA-A3-A6NL"	10.81889356	13.40499784	8.560152346	7.028639513	6.986074894
"TCGA-B8-A54H"	"TCGA-B8-A54H"	10.86870228	12.61559827	7.626407786	6.30108414	6.625664898
"TCGA-A3-A6NI"	"TCGA-A3-A6NI"	9.916928776	13.32996383	8.522809853	7.011220485	6.025433778
"TCGA-G6-A5PC"	"TCGA-G6-A5PC"	9.34893139	12.67308533	7.875166491	5.982074423	6.482538293
"TCGA-B8-A54J"	"TCGA-B8-A54J"	11.34073852	12.96693475	7.846813056	6.534728732	6.597253765
"TCGA-KR-A7K7"	"TCGA-KR-A7K7"	7.98291537	11.72982915	7.003421984	5.260201141	6.83615178
"TCGA-KR-A7K8"	"TCGA-KR-A7K8"	9.338608156	12.42922204	8.602065915	6.348487895	7.265630522
"TCGA-CC-A7IF"	"TCGA-CC-A7IF"	7.992018496	9.609042921	5.228559919	3.470989281	3.998475265
"TCGA-UB-A7MF"	"TCGA-UB-A7MF"	9.411598416	15.30531654	8.162195219	6.899869018	7.423829187
"TCGA-CC-A7IH"	"TCGA-CC-A7IH"	7.879664748	9.590395401	4.759674754	4.047857458	3.286568827
"TCGA-CC-A7IG"	"TCGA-CC-A7IG"	6.931998244	10.59877439	6.434849104	4.84707859	3.995178382
"TCGA-UB-A7ME"	"TCGA-UB-A7ME"	8.934087625	11.70735279	7.116847536	5.834569234	7.338216742
"TCGA-DD-A73C"	"TCGA-DD-A73C"	9.464047408	10.68358827	6.153863228	5.67272374	5.137727327
"TCGA-CC-A7II"	"TCGA-CC-A7II"	6.427556499	9.559323769	6.391606976	4.915685225	4.121167177
"TCGA-SI-A71P"	"TCGA-SI-A71P"	9.652707602	14.65385041	9.726143734	8.508426197	5.757540221
"TCGA-DX-A6YU"	"TCGA-DX-A6YU"	10.85240024	14.23177279	9.706091469	8.562854096	7.070248529
"TCGA-SI-A71Q"	"TCGA-SI-A71Q"	7.377277522	9.87988852	5.39550236	4.325600607	3.218722525
"TCGA-DX-A7EF"	"TCGA-DX-A7EF"	6.751029462	10.28434723	6.587122949	5.349756523	3.219487181
"TCGA-SG-A6Z4"	"TCGA-SG-A6Z4"	8.649418513	11.8589738	7.779296044	6.859984089	4.479365714
"TCGA-DX-A7EI"	"TCGA-DX-A7EI"	6.957019359	9.813854334	4.998126735	3.774385418	5.232353997
"TCGA-DX-A6YQ"	"TCGA-DX-A6YQ"	9.669277238	13.02309995	8.793414621	7.553266691	6.859658551
"TCGA-QC-A7B5"	"TCGA-QC-A7B5"	NA	NA	NA	NA	NA
"TCGA-BP-4968"	"TCGA-BP-4968"	10.88875074	13.63686608	8.234504376	6.583064798	7.616568962
"TCGA-B0-5077"	"TCGA-B0-5077"	9.842802819	13.00446923	7.873475886	6.619271796	6.790583937
"TCGA-BP-4962"	"TCGA-BP-4962"	9.989463567	14.31991691	8.767657896	7.784179143	7.801327319
"TCGA-B0-5081"	"TCGA-B0-5081"	10.75279945	14.46582697	9.47944853	7.759542217	9.263921314
"TCGA-BP-4972"	"TCGA-BP-4972"	10.34288783	13.89433735	8.859368582	7.746421686	7.269779847
"TCGA-BP-4983"	"TCGA-BP-4983"	10.20282192	13.6617026	9.92028782	8.200469667	8.695253605
"TCGA-BP-5007"	"TCGA-BP-5007"	10.9919068	12.8982913	7.561537509	6.164500155	6.898894139
"TCGA-BP-4973"	"TCGA-BP-4973"	9.864399389	13.26224925	8.326091161	6.954797365	7.154640874
"TCGA-BP-5008"	"TCGA-BP-5008"	10.32472725	13.0932252	8.381769515	7.203898161	7.800329483
"TCGA-B0-5085"	"TCGA-B0-5085"	9.772098113	12.27028358	7.740638201	5.681162756	6.305063409
"TCGA-B0-5088"	"TCGA-B0-5088"	10.49545901	13.52848838	8.684799144	7.297046543	7.704092803
"TCGA-BP-4975"	"TCGA-BP-4975"	10.42500913	12.81076992	7.768981951	7.213102697	6.374895783
"TCGA-BP-5000"	"TCGA-BP-5000"	10.80625474	13.78415984	8.212554671	6.617445775	7.733834581
"TCGA-CJ-4900"	"TCGA-CJ-4900"	10.39203825	14.36237049	9.442259462	7.759709241	9.179136686
"TCGA-BP-4969"	"TCGA-BP-4969"	10.42155206	11.99520196	6.719687967	5.302952093	5.051522883
"TCGA-BP-5001"	"TCGA-BP-5001"	10.55334443	12.58435997	7.312873838	5.476898992	7.288988376
"TCGA-B0-5075"	"TCGA-B0-5075"	9.124012099	14.01985748	9.350673095	8.363430379	7.339983439
"TCGA-BP-4970"	"TCGA-BP-4970"	10.97691461	13.7670126	8.464556933	7.737372901	7.395130303
"TCGA-BP-4981"	"TCGA-BP-4981"	9.921294453	13.62553758	8.338567753	6.349723673	6.922268942
"TCGA-BP-5004"	"TCGA-BP-5004"	9.616225388	12.7986165	7.750105435	6.901977201	6.015189658
"TCGA-BP-4982"	"TCGA-BP-4982"	10.89592374	13.20667965	8.326366756	7.259989494	6.661077021
"TCGA-BP-4994"	"TCGA-BP-4994"	9.837986021	12.00205949	7.033785336	6.174894284	5.938793262
"TCGA-B0-5084"	"TCGA-B0-5084"	8.420821241	11.4999546	7.663300761	5.985383681	5.522442745
"TCGA-BP-4964"	"TCGA-BP-4964"	10.38967382	13.09092695	7.308983009	6.360433827	7.203064407
"TCGA-BP-4985"	"TCGA-BP-4985"	8.856368273	11.96828992	7.538848655	6.427982962	6.328612203
"TCGA-BP-4965"	"TCGA-BP-4965"	11.16839757	13.05435327	7.329309805	6.995793309	6.186874831
"TCGA-BP-4998"	"TCGA-BP-4998"	10.6136241	13.41993344	8.801113133	7.626660717	7.596964595
"TCGA-BP-4967"	"TCGA-BP-4967"	9.517588614	12.72432108	7.656047536	6.659670927	6.195993965
"TCGA-CJ-4899"	"TCGA-CJ-4899"	11.23275317	12.76834564	8.088275955	7.253353573	6.921144009
"TCGA-BP-4959"	"TCGA-BP-4959"	10.01611003	13.83860712	8.629728223	8.007125064	7.048638284
"TCGA-BP-4989"	"TCGA-BP-4989"	10.76663938	14.23087265	9.490723569	8.0792712	8.767135091
"TCGA-BP-4991"	"TCGA-BP-4991"	11.2153103	12.43412803	7.771362565	6.984551957	6.27814092
"TCGA-BP-4992"	"TCGA-BP-4992"	10.43426863	13.13365261	8.997512354	6.750698647	8.951589897
"TCGA-BP-4963"	"TCGA-BP-4963"	10.63881117	13.79151525	8.818820045	7.894593576	7.290430125
"TCGA-XF-A9T4"	"TCGA-XF-A9T4"	6.734093398	10.65232008	5.936446677	4.60978002	4.69072083
"TCGA-ZF-AA53"	"TCGA-ZF-AA53"	7.833780244	12.77655134	8.616091665	7.267880095	6.375055746
"TCGA-G2-AA3C"	"TCGA-G2-AA3C"	9.878520011	11.68433304	9.94915905	8.468081254	5.144501071
"TCGA-4Z-AA7S"	"TCGA-4Z-AA7S"	6.916501557	8.423609717	3.319226282	1.925391796	3.328720753
"TCGA-XF-A9SJ"	"TCGA-XF-A9SJ"	8.059356445	13.06468995	8.007713931	6.606333292	6.681484143
"TCGA-ZF-AA54"	"TCGA-ZF-AA54"	9.657945319	13.03713024	9.388046061	8.093511724	6.529708105
"TCGA-XF-A9T8"	"TCGA-XF-A9T8"	8.589133866	13.11136208	9.162173917	7.352932766	6.902778718
"TCGA-XF-A9SL"	"TCGA-XF-A9SL"	9.58453884	13.19862109	8.315670804	7.355031792	8.188055321
"TCGA-G2-AA3D"	"TCGA-G2-AA3D"	5.889301179	8.85258723	4.205811343	4.157716357	4.558103454
"TCGA-DK-AA71"	"TCGA-DK-AA71"	6.411448472	9.741484963	5.283581991	3.259331562	4.074210532
"TCGA-XF-A9SU"	"TCGA-XF-A9SU"	7.989372347	11.17464059	7.612715548	5.454371025	6.53133104
"TCGA-DK-AA6M"	"TCGA-DK-AA6M"	8.594735413	12.95566696	7.921629666	6.381296425	6.243010331
"TCGA-ZF-A9R1"	"TCGA-ZF-A9R1"	6.104294803	9.226436279	4.682862339	3.016244256	5.112660301
"TCGA-4Z-AA82"	"TCGA-4Z-AA82"	5.810032315	11.20109585	5.946397439	4.686928079	3.676743353
"TCGA-ZF-AA5H"	"TCGA-ZF-AA5H"	8.12722549	11.46030791	7.955685635	6.13386544	6.990862157
"TCGA-4Z-AA7Q"	"TCGA-4Z-AA7Q"	8.570744442	12.92298855	7.889576581	5.94541587	7.838784342
"TCGA-4Z-AA84"	"TCGA-4Z-AA84"	6.189770941	8.20247393	5.030339318	4.007836512	3.854596791
"TCGA-DK-AA6L"	"TCGA-DK-AA6L"	6.448540925	11.83024525	6.81360959	6.223497114	4.497719349
"TCGA-DK-AA6Q"	"TCGA-DK-AA6Q"	7.708621497	11.19218662	6.720016863	5.081584408	6.457644945
"TCGA-DK-AA6W"	"TCGA-DK-AA6W"	6.986266951	11.33731906	6.563933042	6.169460039	5.161275731
"TCGA-DK-AA75"	"TCGA-DK-AA75"	6.598628581	7.920113294	2.701627822	3.865866491	3.020768578
"TCGA-4Z-AA7O"	"TCGA-4Z-AA7O"	7.123293494	11.04069283	5.613330754	5.099604459	6.777450621
"TCGA-GU-AATP"	"TCGA-GU-AATP"	7.909363362	10.6972642	7.143030649	5.308788576	5.342825743
"TCGA-4Z-AA81"	"TCGA-4Z-AA81"	6.745076925	12.55169727	5.498274595	3.945695598	6.017106183
"TCGA-4Z-AA83"	"TCGA-4Z-AA83"	6.822000864	11.62159515	6.437848119	4.736730949	3.887613056
"TCGA-XF-A9SP"	"TCGA-XF-A9SP"	8.391445853	11.46596544	7.090434121	6.907371367	6.395984234
